date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2020-12-01,P05.3,68,0,17,0,0,0,0,8,93,P05
2020-12-01,P05.4,910,31,180,24,0,0,0,134,1279,P05
2020-12-01,P05.5,357,10,18,0,0,0,0,94,479,P05
2020-12-01,P05.6,41,0,3,0,0,0,0,8,52,P05
2020-12-01,P06,19859,207,1346,118,0,195,1,6497,28229,
2020-12-01,P07,9061,85,654,98,0,61,0,2158,12117,
2020-12-01,P08,11046,111,755,88,0,155,10,4044,16210,
2020-12-01,P08.0,4623,8,102,27,0,155,9,2277,7202,P08
2020-12-01,P08.1,1115,21,323,24,0,0,0,132,1615,P08
2020-12-01,P08.2,1161,25,122,16,0,0,1,179,1504,P08
2020-12-01,P08.3,4147,57,208,21,0,0,0,1456,5889,P08
2020-12-01,P09,3186,50,274,41,0,21,42,660,4274,
2020-12-01,P09.0,3108,43,264,41,0,21,42,655,4174,P09
2020-12-01,P09.1,78,7,10,0,0,0,0,5,100,P09
2020-12-01,P10,15635,449,1319,212,0,17,4,4115,21751,
2020-12-01,P10.0,9801,76,341,64,0,17,4,3173,13476,P10
2020-12-01,P10.1,3350,209,582,72,0,0,0,459,4672,P10
2020-12-01,P10.2,914,42,115,33,0,0,0,170,1274,P10
2020-12-01,P10.3,1570,122,281,43,0,0,0,313,2329,P10
2021-01-01,P01,5515,101,2479,894,0,327,179,1733,11228,
2021-01-01,P02,9916,102,1432,178,0,157,67,2632,14485,
2021-01-01,P03,14310,131,913,160,0,100,0,3693,19308,
2021-01-01,P04,16733,213,1296,246,0,213,0,4998,23700,
2021-01-01,P05,9578,167,1037,88,0,133,0,2607,13612,
2021-01-01,P05.0,5788,20,196,20,0,133,0,2072,8231,P05
2021-01-01,P05.1,1364,59,508,26,0,0,0,160,2117,P05
2021-01-01,P05.2,1096,46,124,19,0,0,0,142,1427,P05
2021-01-01,P05.3,67,0,18,0,0,0,0,9,94,P05
2021-01-01,P05.4,869,33,168,23,0,0,0,124,1217,P05
2021-01-01,P05.5,352,9,21,0,0,0,0,92,474,P05
2021-01-01,P05.6,42,0,2,0,0,0,0,8,52,P05
2021-01-01,P06,19730,207,1366,130,0,185,1,6487,28113,
2021-01-01,P07,9066,84,661,104,0,54,0,2160,12129,
2021-01-01,P08,10976,110,754,87,0,139,9,4056,16132,
2021-01-01,P08.0,4616,9,104,25,0,139,8,2276,7178,P08
2021-01-01,P08.1,1096,20,327,25,0,0,0,131,1599,P08
2021-01-01,P08.2,1150,24,118,16,0,0,1,182,1491,P08
2021-01-01,P08.3,4114,57,205,21,0,0,0,1467,5864,P08
2021-01-01,P09,3443,56,287,44,0,22,47,780,4679,
2021-01-01,P09.0,3302,46,267,43,0,22,47,771,4498,P09
2021-01-01,P09.1,140,10,20,1,0,0,0,9,180,P09
2021-01-01,P09.2,1,0,0,0,0,0,0,0,1,P09
2021-01-01,P10,16070,464,1374,221,0,19,4,4254,22406,
2021-01-01,P10.0,10082,76,354,65,0,19,4,3287,13887,P10
2021-01-01,P10.1,3429,215,608,78,0,0,0,467,4797,P10
2021-01-01,P10.2,966,47,125,33,0,0,0,176,1347,P10
2021-01-01,P10.3,1591,126,287,45,0,0,0,324,2373,P10
2021-01-01,P10.4,2,0,0,0,0,0,0,0,2,P10
2021-02-01,P01,5562,102,2509,909,0,298,181,1736,11297,
2021-02-01,P02,9888,106,1450,180,0,151,68,2622,14467,
2021-02-01,P03,14386,130,948,166,0,95,0,3707,19433,
2021-02-01,P04,16856,205,1295,260,0,209,0,5051,23877,
2021-02-01,P05,9713,167,1063,92,0,126,0,2639,13802,
2021-02-01,P05.0,5901,21,197,21,0,126,0,2098,8366,P05
2021-02-01,P05.1,1363,60,525,27,0,0,0,162,2137,P05
2021-02-01,P05.2,1119,45,130,20,0,0,0,148,1462,P05
2021-02-01,P05.3,69,0,18,0,0,0,0,9,96,P05
2021-02-01,P05.4,868,32,172,24,0,0,0,123,1219,P05
2021-02-01,P05.5,351,9,20,0,0,0,0,91,471,P05
2021-02-01,P05.6,42,0,1,0,0,0,0,8,51,P05
2021-02-01,P06,19925,211,1373,123,0,183,1,6525,28348,
2021-02-01,P07,9131,87,676,99,0,54,0,2173,12221,
2021-02-01,P08,11024,113,753,88,0,134,8,4078,16199,
2021-02-01,P08.0,4646,12,105,25,0,134,7,2293,7223,P08
2021-02-01,P08.1,1111,19,324,25,0,0,0,128,1607,P08
2021-02-01,P08.2,1145,24,117,16,0,0,1,187,1490,P08
2021-02-01,P08.3,4122,58,207,22,0,0,0,1470,5879,P08
2021-02-01,P09,3520,59,294,45,0,22,49,794,4783,
2021-02-01,P09.0,3327,46,268,44,0,22,49,786,4542,P09
2021-02-01,P09.1,191,13,26,1,0,0,0,8,239,P09
2021-02-01,P09.2,2,0,0,0,0,0,0,0,2,P09
2021-02-01,P10,16313,471,1394,221,0,20,4,4320,22743,
2021-02-01,P10.0,10252,75,365,64,0,20,4,3346,14126,P10
2021-02-01,P10.1,3422,216,609,74,0,0,0,471,4792,P10
2021-02-01,P10.2,1013,51,125,36,0,0,0,177,1402,P10
2021-02-01,P10.3,1624,129,295,47,0,0,0,326,2421,P10
2021-02-01,P10.4,2,0,0,0,0,0,0,0,2,P10
2021-03-01,P01,5535,97,2490,890,0,266,181,1737,11196,
2021-03-01,P02,9778,105,1446,183,0,141,68,2600,14323,
2021-03-01,P03,14321,137,941,170,0,91,0,3712,19373,
2021-03-01,P04,16989,210,1295,261,0,199,0,5068,24023,
2021-03-01,P05,9761,173,1082,91,0,114,0,2638,13861,
2021-03-01,P05.0,5933,21,201,20,0,114,0,2095,8386,P05
2021-03-01,P05.1,1363,63,528,26,0,0,0,162,2142,P05
2021-03-01,P05.2,1125,47,144,21,0,0,0,153,1490,P05
2021-03-01,P05.3,71,0,18,0,0,0,0,9,98,P05
2021-03-01,P05.4,877,33,169,24,0,0,0,121,1224,P05
2021-03-01,P05.5,349,9,21,0,0,0,0,90,469,P05
2021-03-01,P05.6,43,0,1,0,0,0,0,8,52,P05
2021-03-01,P06,20062,209,1381,132,0,170,1,6541,28503,
2021-03-01,P07,9136,85,687,100,0,46,0,2170,12225,
2021-03-01,P08,11015,115,756,91,0,126,8,4056,16168,
2021-03-01,P08.0,4644,12,100,30,0,126,7,2277,7197,P08
2021-03-01,P08.1,1102,18,323,24,0,0,0,126,1593,P08
2021-03-01,P08.2,1140,24,121,16,0,0,1,185,1487,P08
2021-03-01,P08.3,4129,61,212,21,0,0,0,1468,5891,P08
2021-03-01,P09,3241,50,259,42,0,19,33,769,4413,
2021-03-01,P09.0,2542,30,173,30,0,19,33,635,3462,P09
2021-03-01,P09.1,697,20,86,2,0,0,0,134,939,P09
2021-03-01,P09.2,2,0,0,10,0,0,0,0,12,P09
2021-03-01,P10,16645,470,1426,229,0,20,4,4404,23198,
2021-03-01,P10.0,10469,75,372,67,0,20,4,3418,14425,P10
2021-03-01,P10.1,3475,219,629,77,0,0,0,475,4875,P10
2021-03-01,P10.2,1030,50,124,37,0,0,0,180,1421,P10
2021-03-01,P10.3,1669,126,301,48,0,0,0,331,2475,P10
2021-03-01,P10.4,2,0,0,0,0,0,0,0,2,P10
2021-04-01,P01,5496,102,2496,907,0,240,181,1751,11173,
2021-04-01,P02,9857,105,1453,183,0,132,67,2581,14380,
2021-04-01,P03,14370,141,962,172,0,86,0,3719,19451,
2021-04-01,P04,17153,211,1290,261,0,185,0,5092,24193,
2021-04-01,P05,9817,173,1084,99,0,108,0,2663,13946,
2021-04-01,P05.0,5997,20,206,25,0,108,0,2111,8469,P05
2021-04-01,P05.1,1367,61,522,27,0,0,0,163,2140,P05
2021-04-01,P05.2,1134,48,139,23,0,0,0,153,1497,P05
2021-04-01,P05.3,71,0,16,0,0,0,0,10,97,P05
2021-04-01,P05.4,858,34,176,24,0,0,0,128,1220,P05
2021-04-01,P05.5,348,10,22,0,0,0,0,90,470,P05
2021-04-01,P05.6,42,0,3,0,0,0,0,8,53,P05
2021-04-01,P06,20149,216,1389,140,0,162,1,6600,28664,
2021-04-01,P07,9113,83,690,97,0,45,0,2178,12207,
2021-04-01,P08,11085,117,785,91,0,120,9,4083,16291,
2021-04-01,P08.0,4670,12,99,30,0,120,8,2290,7230,P08
2021-04-01,P08.1,1112,19,328,24,0,0,0,128,1611,P08
2021-04-01,P08.2,1143,26,130,16,0,0,1,186,1502,P08
2021-04-01,P08.3,4160,60,228,21,0,0,0,1479,5948,P08
2021-04-01,P09,7953,160,525,91,0,17,112,2284,11142,
2021-04-01,P09.0,4147,50,223,37,0,17,112,1217,5803,P09
2021-04-01,P09.1,1031,35,132,19,0,0,0,175,1392,P09
2021-04-01,P09.2,2775,75,170,35,0,0,0,892,3947,P09
2021-04-01,P10,16934,477,1466,231,0,20,4,4488,23620,
2021-04-01,P10.0,10645,79,379,67,0,20,4,3488,14682,P10
2021-04-01,P10.1,3553,226,657,79,0,0,0,477,4992,P10
2021-04-01,P10.2,1066,47,128,35,0,0,0,185,1461,P10
2021-04-01,P10.3,1667,125,302,50,0,0,0,338,2482,P10
2021-04-01,P10.4,3,0,0,0,0,0,0,0,3,P10
2021-04-01,P18,2891,63,141,33,0,1,43,753,3925,
2021-04-01,P18.0,407,0,8,4,0,1,11,151,582,P18
2021-04-01,P18.1,2404,60,129,28,0,0,32,599,3252,P18
2021-04-01,P18.2,47,2,2,1,0,0,0,2,54,P18
2021-04-01,P18.3,33,1,2,0,0,0,0,1,37,P18
2021-05-01,P01,5499,101,2525,955,0,218,180,1751,11229,
2021-05-01,P02,9829,106,1457,178,0,126,68,2592,14358,
2021-05-01,P03,14248,142,939,162,0,84,0,3683,19258,
2021-05-01,P04,17254,215,1296,264,0,177,0,5121,24329,
2021-05-01,P05,9840,171,1111,100,0,104,0,2691,14019,
2021-05-01,P05.0,6030,21,218,23,0,104,0,2143,8541,P05
2021-05-01,P05.1,1361,59,529,29,0,0,0,162,2140,P05
2021-05-01,P05.2,1132,48,143,27,0,0,0,152,1502,P05
2021-05-01,P05.3,71,0,16,0,0,0,0,9,96,P05
2021-05-01,P05.4,860,33,181,21,0,0,0,127,1222,P05
2021-05-01,P05.5,346,10,22,0,0,0,0,90,468,P05
2021-05-01,P05.6,40,0,2,0,0,0,0,8,50,P05
2021-05-01,P06,20291,229,1409,141,0,156,1,6674,28908,
2021-05-01,P07,9020,88,704,90,0,45,0,2145,12093,
2021-05-01,P08,11030,115,773,94,0,115,9,4077,16214,
2021-05-01,P08.0,4693,12,95,30,0,115,8,2290,7244,P08
2021-05-01,P08.1,1101,19,322,23,0,0,0,129,1594,P08
2021-05-01,P08.2,1101,27,129,20,0,0,1,186,1464,P08
2021-05-01,P08.3,4135,57,227,21,0,0,0,1472,5912,P08
2021-05-01,P09,8358,174,560,93,0,20,149,2370,11724,
2021-05-01,P09.0,4219,50,227,38,0,20,149,1255,5958,P09
2021-05-01,P09.1,1171,39,151,21,0,0,0,183,1565,P09
2021-05-01,P09.2,2968,85,182,34,0,0,0,932,4201,P09
2021-05-01,P10,17263,479,1496,221,0,21,5,4595,24080,
2021-05-01,P10.0,10865,77,384,64,0,21,5,3573,14989,P10
2021-05-01,P10.1,3608,231,669,72,0,0,0,489,5069,P10
2021-05-01,P10.2,1087,46,129,33,0,0,0,190,1485,P10
2021-05-01,P10.3,1700,125,314,52,0,0,0,343,2534,P10
2021-05-01,P10.4,3,0,0,0,0,0,0,0,3,P10
2021-05-01,P18,3055,65,149,33,0,2,43,779,4126,
2021-05-01,P18.0,449,0,9,4,0,2,11,157,632,P18
2021-05-01,P18.1,2522,62,135,28,0,0,32,619,3398,P18
2021-05-01,P18.2,48,2,2,1,0,0,0,2,55,P18
2021-05-01,P18.3,36,1,3,0,0,0,0,1,41,P18
2021-06-01,P01,5489,103,2534,1024,0,194,179,1757,11280,
2021-06-01,P02,9798,112,1458,177,0,116,68,2594,14325,
2021-06-01,P03,14129,146,952,169,0,79,0,3699,19174,
2021-06-01,P04,17360,213,1295,264,0,172,0,5149,24456,
2021-06-01,P05,9928,169,1117,99,0,101,0,2705,14121,
2021-06-01,P05.0,6084,20,215,23,0,101,0,2166,8611,P05
2021-06-01,P05.1,1365,58,534,31,0,0,0,160,2148,P05
2021-06-01,P05.2,1147,47,144,23,0,0,0,147,1508,P05
2021-06-01,P05.3,71,0,18,0,0,0,0,9,98,P05
2021-06-01,P05.4,870,33,182,21,0,0,0,125,1231,P05
2021-06-01,P05.5,351,11,22,1,0,0,0,90,475,P05
2021-06-01,P05.6,40,0,2,0,0,0,0,8,50,P05
2021-06-01,P06,20374,237,1414,132,0,143,1,6707,29014,
2021-06-01,P07,9038,83,697,92,0,44,0,2138,12093,
2021-06-01,P08,11108,113,769,104,0,108,8,4091,16302,
2021-06-01,P08.0,4715,11,93,30,0,108,7,2296,7261,P08
2021-06-01,P08.1,1120,19,321,31,0,0,0,129,1620,P08
2021-06-01,P08.2,1120,29,126,20,0,0,1,186,1482,P08
2021-06-01,P08.3,4153,54,229,23,0,0,0,1480,5939,P08
2021-06-01,P09,8608,175,576,92,0,20,148,2421,12040,
2021-06-01,P09.0,4268,49,228,37,0,20,148,1277,6027,P09
2021-06-01,P09.1,1248,38,163,22,0,0,0,193,1664,P09
2021-06-01,P09.2,3092,88,185,33,0,0,0,951,4349,P09
2021-06-01,P10,17860,488,1506,221,0,21,5,4766,24867,
2021-06-01,P10.0,11357,80,393,62,0,21,5,3722,15640,P10
2021-06-01,P10.1,3679,234,670,73,0,0,0,495,5151,P10
2021-06-01,P10.2,1093,46,129,36,0,0,0,195,1499,P10
2021-06-01,P10.3,1728,128,314,50,0,0,0,354,2574,P10
2021-06-01,P10.4,3,0,0,0,0,0,0,0,3,P10
2021-06-01,P18,3132,66,151,34,0,2,47,792,4224,
2021-06-01,P18.0,461,1,9,4,0,2,13,157,647,P18
2021-06-01,P18.1,2581,62,137,29,0,0,34,632,3475,P18
2021-06-01,P18.2,48,2,2,1,0,0,0,2,55,P18
2021-06-01,P18.3,42,1,3,0,0,0,0,1,47,P18
2021-07-01,P01,5492,102,2543,1187,0,177,179,1762,11442,
2021-07-01,P02,9851,113,1456,218,0,109,69,2563,14381,
2021-07-01,P03,14201,144,953,176,0,77,0,3714,19265,
2021-07-01,P04,17506,213,1301,265,0,169,0,5163,24620,
2021-07-01,P05,9991,174,1118,100,0,95,0,2728,14208,
2021-07-01,P05.0,6146,19,213,23,0,95,0,2186,8684,P05
2021-07-01,P05.1,1371,62,529,33,0,0,0,164,2159,P05
2021-07-01,P05.2,1138,49,152,23,0,0,0,148,1510,P05
2021-07-01,P05.3,70,0,21,0,0,0,0,9,100,P05
2021-07-01,P05.4,872,33,179,21,0,0,0,122,1227,P05
2021-07-01,P05.5,354,11,22,0,0,0,0,91,478,P05
2021-07-01,P05.6,40,0,2,0,0,0,0,8,50,P05
2021-07-01,P06,20525,233,1420,129,0,140,1,6745,29199,
2021-07-01,P07,9070,90,704,101,0,43,0,2145,12154,
2021-07-01,P08,11210,122,764,111,0,99,8,4117,16432,
2021-07-01,P08.0,4800,10,96,29,0,99,7,2320,7362,P08
2021-07-01,P08.1,1136,21,316,34,0,0,0,127,1634,P08
2021-07-01,P08.2,1112,32,125,20,0,0,1,184,1474,P08
2021-07-01,P08.3,4162,59,227,28,0,0,0,1486,5962,P08
2021-07-01,P09,8725,174,577,94,0,20,151,2450,12191,
2021-07-01,P09.0,4303,47,227,37,0,20,151,1293,6078,P09
2021-07-01,P09.1,1304,42,167,21,0,0,0,199,1733,P09
2021-07-01,P09.2,3118,85,183,36,0,0,0,958,4380,P09
2021-07-01,P10,20952,575,1716,263,0,22,5,5619,29152,
2021-07-01,P10.0,13106,93,440,66,0,22,5,4318,18050,P10
2021-07-01,P10.1,3739,236,674,72,0,0,0,499,5220,P10
2021-07-01,P10.2,1101,47,134,36,0,0,0,201,1519,P10
2021-07-01,P10.3,1740,125,316,53,0,0,0,358,2592,P10
2021-07-01,P10.4,1266,74,152,36,0,0,0,243,1771,P10
2021-07-01,P18,3166,63,153,36,0,2,47,802,4269,
2021-07-01,P18.0,462,1,8,4,0,2,13,159,649,P18
2021-07-01,P18.1,2613,60,140,31,0,0,34,640,3518,P18
2021-07-01,P18.2,49,1,2,1,0,0,0,2,55,P18
2021-07-01,P18.3,42,1,3,0,0,0,0,1,47,P18
2021-08-01,P01,5502,106,2562,1186,0,170,179,1777,11482,
2021-08-01,P02,9897,110,1453,213,0,104,68,2571,14418,
2021-08-01,P03,14252,152,957,184,0,78,0,3737,19360,
2021-08-01,P04,17089,211,1283,266,0,155,0,5066,24072,
2021-08-01,P05,10090,184,1121,120,0,90,0,2746,14353,
2021-08-01,P05.0,6215,24,213,24,0,90,0,2200,8768,P05
2021-08-01,P05.1,1387,64,531,45,0,0,0,167,2194,P05
2021-08-01,P05.2,1149,50,153,27,0,0,0,148,1527,P05
2021-08-01,P05.3,70,0,21,0,0,0,0,9,100,P05
2021-08-01,P05.4,873,34,179,24,0,0,0,124,1234,P05
2021-08-01,P05.5,354,12,22,0,0,0,0,91,479,P05
2021-08-01,P05.6,42,0,2,0,0,0,0,7,51,P05
2021-08-01,P06,20649,231,1448,132,0,134,1,6814,29415,
2021-08-01,P07,9142,84,703,97,0,42,0,2171,12240,
2021-08-01,P08,11298,121,772,113,0,96,8,4130,16539,
2021-08-01,P08.0,4856,9,98,29,0,96,7,2332,7428,P08
2021-08-01,P08.1,1147,21,321,35,0,0,0,129,1653,P08
2021-08-01,P08.2,1119,34,127,20,0,0,1,182,1483,P08
2021-08-01,P08.3,4176,57,226,29,0,0,0,1487,5975,P08
2021-08-01,P09,8877,180,578,93,0,19,153,2478,12378,
2021-08-01,P09.0,4331,47,224,36,0,19,153,1303,6113,P09
2021-08-01,P09.1,1359,44,170,23,0,0,0,206,1802,P09
2021-08-01,P09.2,3187,89,184,34,0,0,0,969,4463,P09
2021-08-01,P10,20634,558,1706,261,0,20,6,5547,28732,
2021-08-01,P10.0,12909,90,430,67,0,20,6,4279,17801,P10
2021-08-01,P10.1,3487,211,645,69,0,0,0,435,4847,P10
2021-08-01,P10.2,1112,48,134,35,0,0,0,204,1533,P10
2021-08-01,P10.3,1758,131,320,52,0,0,0,363,2624,P10
2021-08-01,P10.4,1368,78,177,38,0,0,0,266,1927,P10
2021-08-01,P18,3226,61,154,36,0,2,47,816,4342,
2021-08-01,P18.0,470,1,7,4,0,2,13,163,660,P18
2021-08-01,P18.1,2663,58,142,31,0,0,34,650,3578,P18
2021-08-01,P18.2,49,1,2,1,0,0,0,2,55,P18
2021-08-01,P18.3,44,1,3,0,0,0,0,1,49,P18
2021-09-01,P01,5531,110,2599,1141,0,167,178,1796,11522,
2021-09-01,P02,9982,109,1486,232,0,100,69,2607,14586,
2021-09-01,P03,14313,158,990,174,0,77,0,3775,19487,
2021-09-01,P04,17264,212,1277,269,0,149,0,5114,24287,
2021-09-01,P05,10215,185,1135,121,0,88,0,2767,14513,
2021-09-01,P05.0,6312,26,216,25,0,88,0,2222,8891,P05
2021-09-01,P05.1,1396,66,540,45,0,0,0,166,2213,P05
2021-09-01,P05.2,1163,49,153,26,0,0,0,147,1538,P05
2021-09-01,P05.3,68,0,21,0,0,0,0,10,99,P05
2021-09-01,P05.4,880,33,178,25,0,0,0,124,1240,P05
2021-09-01,P05.5,353,11,23,0,0,0,0,91,478,P05
2021-09-01,P05.6,43,0,4,0,0,0,0,7,54,P05
2021-09-01,P06,20866,237,1466,125,0,125,1,6851,29676,
2021-09-01,P07,9234,93,729,94,0,36,0,2190,12377,
2021-09-01,P08,11386,126,786,113,0,91,8,4143,16654,
2021-09-01,P08.0,4914,11,101,29,0,91,7,2345,7499,P08
2021-09-01,P08.1,1158,22,325,35,0,0,0,130,1670,P08
2021-09-01,P08.2,1104,34,130,20,0,0,1,183,1472,P08
2021-09-01,P08.3,4210,59,230,29,0,0,0,1485,6013,P08
2021-09-01,P09,9003,183,593,94,0,18,159,2502,12552,
2021-09-01,P09.0,4338,48,222,39,0,18,159,1318,6142,P09
2021-09-01,P09.1,1433,46,185,21,0,0,0,208,1893,P09
2021-09-01,P09.2,3232,89,186,34,0,0,0,976,4517,P09
2021-09-01,P10,20917,567,1717,258,0,17,7,5587,29070,
2021-09-01,P10.0,13088,90,425,68,0,17,7,4302,17997,P10
2021-09-01,P10.1,3475,214,641,66,0,0,0,437,4833,P10
2021-09-01,P10.2,1115,47,135,35,0,0,0,204,1536,P10
2021-09-01,P10.3,1799,136,328,50,0,0,0,359,2672,P10
2021-09-01,P10.4,1440,80,188,39,0,0,0,285,2032,P10
2021-09-01,P18,3278,62,155,35,0,2,47,820,4399,
2021-09-01,P18.0,481,1,7,4,0,2,13,164,672,P18
2021-09-01,P18.1,2701,59,143,30,0,0,34,653,3620,P18
2021-09-01,P18.2,51,1,2,1,0,0,0,2,57,P18
2021-09-01,P18.3,45,1,3,0,0,0,0,1,50,P18
2021-10-01,P01,5600,107,2631,1163,0,155,180,1804,11640,
2021-10-01,P02,10018,109,1514,233,0,93,69,2616,14653,
2021-10-01,P03,14350,168,1001,172,0,72,0,3764,19527,
2021-10-01,P04,17371,209,1286,265,0,145,0,5155,24433,
2021-10-01,P05,10087,184,1127,117,0,80,0,2746,14344,
2021-10-01,P05.0,6275,29,224,23,0,80,0,2220,8854,P05
2021-10-01,P05.1,1347,63,534,45,0,0,0,159,2148,P05
2021-10-01,P05.2,1146,48,150,24,0,0,0,147,1515,P05
2021-10-01,P05.3,68,1,24,0,0,0,0,10,103,P05
2021-10-01,P05.4,873,33,169,25,0,0,0,118,1218,P05
2021-10-01,P05.5,339,10,22,0,0,0,0,86,457,P05
2021-10-01,P05.6,39,0,4,0,0,0,0,6,49,P05
2021-10-01,P06,20560,238,1468,126,0,122,1,6745,29265,
2021-10-01,P07,9236,93,739,99,0,33,0,2195,12396,
2021-10-01,P08,11390,128,785,111,0,87,8,4154,16664,
2021-10-01,P08.0,4925,12,101,29,0,87,7,2348,7510,P08
2021-10-01,P08.1,1153,24,330,32,0,0,0,131,1670,P08
2021-10-01,P08.2,1109,32,128,22,0,0,1,191,1483,P08
2021-10-01,P08.3,4203,60,226,28,0,0,0,1484,6001,P08
2021-10-01,P09,9049,169,590,94,0,18,159,2525,12604,
2021-10-01,P09.0,4340,40,225,40,0,18,159,1324,6146,P09
2021-10-01,P09.1,1474,44,182,20,0,0,0,208,1928,P09
2021-10-01,P09.2,3235,85,183,34,0,0,0,993,4530,P09
2021-10-01,P10,20819,536,1723,258,0,16,6,5608,28966,
2021-10-01,P10.0,13079,80,433,65,0,16,6,4373,18052,P10
2021-10-01,P10.1,3525,213,662,71,0,0,0,438,4909,P10
2021-10-01,P10.2,1138,50,135,34,0,0,0,208,1565,P10
2021-10-01,P10.3,1636,115,296,51,0,0,0,299,2397,P10
2021-10-01,P10.4,1441,78,197,37,0,0,0,290,2043,P10
2021-10-01,P18,3285,58,152,34,0,2,47,831,4409,
2021-10-01,P18.0,480,1,7,4,0,2,13,168,675,P18
2021-10-01,P18.1,2712,55,139,29,0,0,34,660,3629,P18
2021-10-01,P18.2,48,1,3,1,0,0,0,2,55,P18
2021-10-01,P18.3,45,1,3,0,0,0,0,1,50,P18
2021-11-01,P01,5616,110,2661,1068,0,147,182,1811,11595,
2021-11-01,P02,10010,110,1553,226,0,84,70,2621,14675,
2021-11-01,P03,14394,161,1002,168,0,69,0,3749,19543,
2021-11-01,P04,17521,206,1306,267,0,142,0,5182,24628,
2021-11-01,P05,10143,181,1146,116,0,80,0,2770,14439,
2021-11-01,P05.0,6351,28,219,23,0,80,0,2247,8951,P05
2021-11-01,P05.1,1332,63,551,42,0,0,0,159,2147,P05
2021-11-01,P05.2,1133,47,150,24,0,0,0,143,1497,P05
2021-11-01,P05.3,69,1,25,0,0,0,0,10,105,P05
2021-11-01,P05.4,876,33,175,27,0,0,0,120,1231,P05
2021-11-01,P05.5,343,9,21,0,0,0,0,85,458,P05
2021-11-01,P05.6,39,0,5,0,0,0,0,6,50,P05
2021-11-01,P06,20779,236,1495,162,0,121,1,6762,29561,
2021-11-01,P07,9242,94,746,97,0,35,0,2211,12426,
2021-11-01,P08,11179,125,772,113,0,86,8,4066,16350,
2021-11-01,P08.0,4866,12,99,29,0,86,7,2319,7419,P08
2021-11-01,P08.1,1132,24,323,33,0,0,0,130,1642,P08
2021-11-01,P08.2,1087,31,127,25,0,0,1,185,1456,P08
2021-11-01,P08.3,4094,58,223,26,0,0,0,1432,5833,P08
2021-11-01,P09,9155,173,598,93,0,18,159,2538,12734,
2021-11-01,P09.0,4379,41,226,36,0,18,159,1325,6184,P09
2021-11-01,P09.1,1500,47,191,20,0,0,0,210,1968,P09
2021-11-01,P09.2,3276,85,181,37,0,0,0,1003,4582,P09
2021-11-01,P10,20859,539,1743,256,0,16,8,5689,29110,
2021-11-01,P10.0,13211,81,439,63,0,16,8,4457,18275,P10
2021-11-01,P10.1,3524,216,679,71,0,0,0,445,4935,P10
2021-11-01,P10.2,1013,46,128,32,0,0,0,180,1399,P10
2021-11-01,P10.3,1651,116,297,50,0,0,0,309,2423,P10
2021-11-01,P10.4,1460,80,200,40,0,0,0,298,2078,P10
2021-11-01,P18,3321,61,151,34,0,2,47,834,4450,
2021-11-01,P18.0,489,1,7,4,0,2,13,170,686,P18
2021-11-01,P18.1,2734,58,138,29,0,0,34,661,3654,P18
2021-11-01,P18.2,50,1,3,1,0,0,0,2,57,P18
2021-11-01,P18.3,48,1,3,0,0,0,0,1,53,P18
2021-12-01,P01,5595,111,2632,1094,0,147,183,1811,11573,
2021-12-01,P02,10048,106,1553,218,0,80,70,2608,14684,
2021-12-01,P03,14400,154,989,155,0,59,0,3748,19505,
2021-12-01,P04,17537,206,1294,267,0,137,0,5176,24621,
2021-12-01,P05,10279,182,1142,114,0,82,0,2818,14620,
2021-12-01,P05.0,6472,31,221,22,0,82,0,2287,9118,P05
2021-12-01,P05.1,1336,62,552,41,0,0,0,162,2153,P05
2021-12-01,P05.2,1135,44,149,24,0,0,0,145,1497,P05
2021-12-01,P05.3,69,1,25,0,0,0,0,9,104,P05
2021-12-01,P05.4,883,35,169,27,0,0,0,121,1235,P05
2021-12-01,P05.5,345,9,22,0,0,0,0,88,464,P05
2021-12-01,P05.6,39,0,4,0,0,0,0,6,49,P05
2021-12-01,P06,20838,234,1490,164,0,117,1,6776,29625,
2021-12-01,P07,9244,94,744,90,0,34,0,2202,12409,
2021-12-01,P08,11175,128,766,105,0,83,8,4060,16326,
2021-12-01,P08.0,4895,12,100,29,0,83,7,2320,7447,P08
2021-12-01,P08.1,1129,25,320,28,0,0,0,128,1630,P08
2021-12-01,P08.2,1066,32,123,25,0,0,1,186,1433,P08
2021-12-01,P08.3,4085,59,223,23,0,0,0,1426,5816,P08
2021-12-01,P09,9236,176,591,95,0,18,160,2544,12820,
2021-12-01,P09.0,4414,42,222,35,0,18,160,1320,6211,P09
2021-12-01,P09.1,1514,50,190,23,0,0,0,212,1989,P09
2021-12-01,P09.2,3308,84,179,37,0,0,0,1012,4620,P09
2021-12-01,P10,21073,543,1763,245,0,16,8,5739,29387,
2021-12-01,P10.0,13340,80,449,56,0,16,8,4505,18454,P10
2021-12-01,P10.1,3553,217,692,73,0,0,0,446,4981,P10
2021-12-01,P10.2,1034,49,124,30,0,0,0,184,1421,P10
2021-12-01,P10.3,1660,115,296,48,0,0,0,304,2423,P10
2021-12-01,P10.4,1486,82,202,38,0,0,0,300,2108,P10
2021-12-01,P18,3349,62,154,32,0,2,47,837,4483,
2021-12-01,P18.0,498,1,7,4,0,2,13,172,697,P18
2021-12-01,P18.1,2752,59,141,27,0,0,34,662,3675,P18
2021-12-01,P18.2,50,1,3,1,0,0,0,2,57,P18
