date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2019-08-01,P08.2,1198,20,118,72,0,0,0,178,1586,P08
2019-08-01,P08.3,4245,59,215,27,0,0,0,1506,6052,P08
2019-09-01,P01,5569,92,2371,1085,0,198,186,1646,11147,
2019-09-01,P02,9680,91,1337,195,0,93,57,2540,13993,
2019-09-01,P03,13479,101,802,215,0,48,0,3509,18154,
2019-09-01,P04,12098,165,897,192,0,126,0,3633,17111,
2019-09-01,P05,7407,119,881,87,0,82,0,2090,10666,
2019-09-01,P05.0,4234,11,144,21,0,82,0,1603,6095,P05
2019-09-01,P05.1,1414,60,492,39,0,0,0,176,2181,P05
2019-09-01,P05.2,680,20,83,7,0,0,0,94,884,P05
2019-09-01,P05.3,76,0,17,0,0,0,0,8,101,P05
2019-09-01,P05.4,599,18,127,20,0,0,0,101,865,P05
2019-09-01,P05.5,359,10,17,0,0,0,0,99,485,P05
2019-09-01,P05.6,45,0,1,0,0,0,0,9,55,P05
2019-09-01,P06,17205,150,1112,103,0,109,1,5620,24300,
2019-09-01,P07,8638,63,530,104,0,36,0,2125,11496,
2019-09-01,P08,11096,104,745,178,0,75,5,4029,16232,
2019-09-01,P08.0,4512,7,113,35,0,75,5,2216,6963,P08
2019-09-01,P08.1,1131,17,300,44,0,0,0,129,1621,P08
2019-09-01,P08.2,1194,19,117,71,0,0,0,175,1576,P08
2019-09-01,P08.3,4259,61,215,28,0,0,0,1509,6072,P08
2019-10-01,P01,5562,89,2374,1082,0,256,151,1668,11182,
2019-10-01,P02,9726,88,1314,190,0,119,57,2553,14047,
2019-10-01,P03,13537,106,816,193,0,71,0,3538,18261,
2019-10-01,P04,12387,165,908,197,0,158,0,3782,17597,
2019-10-01,P05,7615,127,901,85,0,96,0,2150,10974,
2019-10-01,P05.0,4379,13,151,21,0,96,0,1655,6315,P05
2019-10-01,P05.1,1411,63,489,39,0,0,0,174,2176,P05
2019-10-01,P05.2,711,21,87,6,0,0,0,97,922,P05
2019-10-01,P05.3,76,0,19,0,0,0,0,9,104,P05
2019-10-01,P05.4,616,18,136,19,0,0,0,106,895,P05
2019-10-01,P05.5,375,12,18,0,0,0,0,100,505,P05
2019-10-01,P05.6,47,0,1,0,0,0,0,9,57,P05
2019-10-01,P06,17667,151,1150,101,0,134,1,5750,24954,
2019-10-01,P07,8690,67,540,98,0,51,0,2144,11590,
2019-10-01,P08,10641,101,721,166,0,96,5,3925,15655,
2019-10-01,P08.0,4372,6,103,25,0,96,5,2155,6762,P08
2019-10-01,P08.1,1065,17,294,41,0,0,0,127,1544,P08
2019-10-01,P08.2,1112,20,112,72,0,0,0,169,1485,P08
2019-10-01,P08.3,4092,58,212,28,0,0,0,1474,5864,P08
2019-11-01,P01,5579,97,2402,1097,0,315,152,1679,11321,
2019-11-01,P02,9749,84,1335,191,0,144,60,2541,14104,
2019-11-01,P03,13624,100,834,193,0,87,0,3545,18383,
2019-11-01,P04,13050,174,945,208,0,187,0,4011,18575,
2019-11-01,P05,8731,155,969,87,0,116,0,2378,12436,
2019-11-01,P05.0,4940,18,170,20,0,116,0,1826,7090,P05
2019-11-01,P05.1,1430,62,490,36,0,0,0,175,2193,P05
2019-11-01,P05.2,982,36,102,7,0,0,0,125,1252,P05
2019-11-01,P05.3,78,0,19,0,0,0,0,9,106,P05
2019-11-01,P05.4,876,28,168,24,0,0,0,132,1228,P05
2019-11-01,P05.5,374,11,17,0,0,0,0,102,504,P05
2019-11-01,P05.6,51,0,3,0,0,0,0,9,63,P05
2019-11-01,P06,19020,177,1285,107,0,169,1,6089,26848,
2019-11-01,P07,8737,70,558,99,0,67,0,2150,11681,
2019-11-01,P08,10726,102,739,162,0,118,6,3977,15830,
2019-11-01,P08.0,4399,6,106,22,0,118,6,2186,6843,P08
2019-11-01,P08.1,1080,18,306,39,0,0,0,132,1575,P08
2019-11-01,P08.2,1119,20,114,73,0,0,0,172,1498,P08
2019-11-01,P08.3,4128,58,213,28,0,0,0,1487,5914,P08
2019-12-01,P01,5568,95,2399,1056,0,368,152,1690,11328,
2019-12-01,P02,9763,82,1323,191,0,159,60,2549,14127,
2019-12-01,P03,13667,102,822,185,0,101,0,3555,18432,
