date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2020-05-01,P05.6,48.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,61.0,P05,,,,,,,,,,,,,
2020-05-01,P06,19762.0,195.0,1358.0,116.0,0.0,235.0,1.0,6357.0,28025.0,,25924.0,24869.0,17054.0,8865.0,5.0,0.0,16534.0,8330.0,5.0,0.0,267.0,200.0,0.0
2020-05-01,P07,9001.0,79.0,619.0,102.0,0.0,89.0,0.0,2148.0,12038.0,,9753.0,9335.0,6936.0,2253.0,564.0,0.0,6591.0,2197.0,547.0,0.0,97.0,94.0,0.0
2020-05-01,P08,11203.0,111.0,792.0,167.0,0.0,166.0,7.0,4128.0,16574.0,,15008.0,14446.0,9854.0,5045.0,109.0,0.0,9556.0,4796.0,94.0,0.0,175.0,97.0,0.0
2020-05-01,P08.0,4610.0,6.0,108.0,21.0,0.0,166.0,6.0,2287.0,7204.0,P08,,,,,,,,,,,,,
2020-05-01,P08.1,1140.0,20.0,330.0,38.0,0.0,0.0,0.0,136.0,1664.0,P08,,,,,,,,,,,,,
2020-05-01,P08.2,1196.0,25.0,131.0,80.0,0.0,0.0,1.0,178.0,1611.0,P08,,,,,,,,,,,,,
2020-05-01,P08.3,4257.0,60.0,223.0,28.0,0.0,0.0,0.0,1527.0,6095.0,P08,,,,,,,,,,,,,
2020-05-01,P09,2877.0,46.0,265.0,43.0,0.0,16.0,40.0,554.0,3841.0,,3810.0,3662.0,0.0,3810.0,0.0,0.0,0.0,3662.0,0.0,0.0,47.0,65.0,0.0
2020-05-01,P09.0,2877.0,46.0,265.0,43.0,0.0,16.0,40.0,554.0,3841.0,P09,,,,,,,,,,,,,
2020-06-01,P01,5664.0,103.0,2562.0,1007.0,0.0,516.0,149.0,1722.0,11723.0,,8622.0,8024.0,6525.0,2097.0,0.0,0.0,6080.0,1944.0,0.0,0.0,187.0,89.0,0.0
2020-06-01,P02,9891.0,86.0,1380.0,189.0,0.0,203.0,62.0,2614.0,14425.0,,12020.0,11393.0,8264.0,3756.0,0.0,0.0,7876.0,3517.0,0.0,0.0,118.0,113.0,0.0
2020-06-01,P03,14060.0,110.0,876.0,177.0,0.0,139.0,0.0,3610.0,18973.0,,14958.0,14366.0,10498.0,4460.0,0.0,0.0,10071.0,4295.0,0.0,0.0,176.0,123.0,0.0
2020-06-01,P04,16745.0,215.0,1330.0,273.0,0.0,285.0,0.0,4895.0,23743.0,,22633.0,21791.0,13334.0,9097.0,202.0,0.0,12856.0,8743.0,192.0,0.0,228.0,185.0,0.0
2020-06-01,P05,9411.0,175.0,1025.0,102.0,0.0,188.0,0.0,2518.0,13420.0,,12750.0,12163.0,7391.0,5257.0,102.0,0.0,7165.0,4910.0,88.0,0.0,198.0,117.0,0.0
2020-06-01,P05.0,5438.0,22.0,182.0,18.0,0.0,188.0,0.0,1957.0,7806.0,P05,,,,,,,,,,,,,
2020-06-01,P05.1,1458.0,69.0,504.0,39.0,0.0,0.0,0.0,169.0,2239.0,P05,,,,,,,,,,,,,
2020-06-01,P05.2,1053.0,44.0,109.0,18.0,0.0,0.0,0.0,133.0,1357.0,P05,,,,,,,,,,,,,
2020-06-01,P05.3,75.0,0.0,22.0,0.0,0.0,0.0,0.0,10.0,107.0,P05,,,,,,,,,,,,,
2020-06-01,P05.4,965.0,29.0,182.0,27.0,0.0,0.0,0.0,140.0,1343.0,P05,,,,,,,,,,,,,
2020-06-01,P05.5,374.0,11.0,22.0,0.0,0.0,0.0,0.0,100.0,507.0,P05,,,,,,,,,,,,,
2020-06-01,P05.6,48.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,61.0,P05,,,,,,,,,,,,,
2020-06-01,P06,19919.0,196.0,1348.0,116.0,0.0,253.0,1.0,6427.0,28262.0,,25923.0,24874.0,17030.0,8888.0,5.0,0.0,16521.0,8348.0,5.0,0.0,267.0,201.0,0.0
2020-06-01,P07,9035.0,82.0,632.0,98.0,0.0,91.0,0.0,2136.0,12074.0,,9763.0,9347.0,6939.0,2253.0,569.0,2.0,6601.0,2196.0,550.0,0.0,97.0,94.0,0.0
2020-06-01,P08,11256.0,110.0,795.0,164.0,0.0,174.0,6.0,4135.0,16640.0,,15008.0,14446.0,9854.0,5045.0,109.0,0.0,9555.0,4797.0,94.0,0.0,175.0,97.0,0.0
2020-06-01,P08.0,4665.0,5.0,112.0,21.0,0.0,174.0,5.0,2299.0,7281.0,P08,,,,,,,,,,,,,
2020-06-01,P08.1,1128.0,20.0,330.0,39.0,0.0,0.0,0.0,136.0,1653.0,P08,,,,,,,,,,,,,
2020-06-01,P08.2,1199.0,25.0,128.0,76.0,0.0,0.0,1.0,178.0,1607.0,P08,,,,,,,,,,,,,
2020-06-01,P08.3,4264.0,60.0,225.0,28.0,0.0,0.0,0.0,1522.0,6099.0,P08,,,,,,,,,,,,,
2020-06-01,P09,2901.0,43.0,255.0,37.0,0.0,19.0,41.0,559.0,3855.0,,3809.0,3661.0,0.0,3809.0,0.0,0.0,0.0,3661.0,0.0,0.0,47.0,65.0,0.0
2020-06-01,P09.0,2901.0,43.0,255.0,37.0,0.0,19.0,41.0,559.0,3855.0,P09,,,,,,,,,,,,,
2020-07-01,P01,5651.0,102.0,2570.0,1122.0,0.0,544.0,149.0,1733.0,11871.0,,8616.0,8018.0,6523.0,2093.0,0.0,0.0,6079.0,1939.0,0.0,0.0,189.0,89.0,0.0
2020-07-01,P02,9917.0,87.0,1379.0,194.0,0.0,208.0,61.0,2636.0,14482.0,,12021.0,11392.0,8271.0,3750.0,0.0,0.0,7881.0,3511.0,0.0,0.0,118.0,113.0,0.0
2020-07-01,P03,14106.0,117.0,887.0,177.0,0.0,146.0,0.0,3629.0,19063.0,,14958.0,14370.0,10498.0,4460.0,0.0,0.0,10073.0,4297.0,0.0,0.0,176.0,123.0,0.0
2020-07-01,P04,16940.0,216.0,1341.0,278.0,0.0,293.0,0.0,4950.0,24018.0,,22632.0,21792.0,13333.0,9097.0,202.0,0.0,12855.0,8745.0,192.0,0.0,228.0,185.0,0.0
2020-07-01,P05,9523.0,173.0,1020.0,98.0,0.0,193.0,0.0,2524.0,13532.0,,12749.0,12161.0,7390.0,5257.0,102.0,0.0,7163.0,4910.0,88.0,0.0,198.0,117.0,0.0
2020-07-01,P05.0,5526.0,21.0,181.0,19.0,0.0,193.0,0.0,1969.0,7910.0,P05,,,,,,,,,,,,,
2020-07-01,P05.1,1469.0,66.0,509.0,38.0,0.0,0.0,0.0,167.0,2249.0,P05,,,,,,,,,,,,,
2020-07-01,P05.2,1064.0,44.0,104.0,18.0,0.0,0.0,0.0,133.0,1363.0,P05,,,,,,,,,,,,,
2020-07-01,P05.3,75.0,0.0,22.0,0.0,0.0,0.0,0.0,10.0,107.0,P05,,,,,,,,,,,,,
2020-07-01,P05.4,967.0,31.0,181.0,23.0,0.0,0.0,0.0,138.0,1340.0,P05,,,,,,,,,,,,,
2020-07-01,P05.5,375.0,11.0,21.0,0.0,0.0,0.0,0.0,98.0,505.0,P05,,,,,,,,,,,,,
2020-07-01,P05.6,47.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,58.0,P05,,,,,,,,,,,,,
2020-07-01,P06,19987.0,195.0,1342.0,114.0,0.0,258.0,1.0,6478.0,28377.0,,25925.0,24883.0,17032.0,8888.0,5.0,0.0,16526.0,8352.0,5.0,0.0,267.0,201.0,0.0
2020-07-01,P07,9080.0,83.0,640.0,98.0,0.0,92.0,0.0,2143.0,12136.0,,9770.0,9353.0,6945.0,2254.0,569.0,2.0,6606.0,2197.0,550.0,0.0,97.0,94.0,0.0
2020-07-01,P08,11324.0,110.0,805.0,164.0,0.0,185.0,6.0,4149.0,16743.0,,15008.0,14448.0,9854.0,5045.0,109.0,0.0,9557.0,4797.0,94.0,0.0,175.0,98.0,0.0
2020-07-01,P08.0,4675.0,6.0,113.0,21.0,0.0,185.0,5.0,2305.0,7310.0,P08,,,,,,,,,,,,,
2020-07-01,P08.1,1146.0,19.0,337.0,40.0,0.0,0.0,0.0,136.0,1678.0,P08,,,,,,,,,,,,,
2020-07-01,P08.2,1217.0,24.0,133.0,76.0,0.0,0.0,1.0,181.0,1632.0,P08,,,,,,,,,,,,,
2020-07-01,P08.3,4286.0,61.0,222.0,27.0,0.0,0.0,0.0,1527.0,6123.0,P08,,,,,,,,,,,,,
2020-07-01,P09,2948.0,44.0,264.0,37.0,0.0,20.0,41.0,568.0,3922.0,,3809.0,3661.0,0.0,3809.0,0.0,0.0,0.0,3661.0,0.0,0.0,47.0,65.0,0.0
2020-07-01,P09.0,2948.0,44.0,264.0,37.0,0.0,20.0,41.0,568.0,3922.0,P09,,,,,,,,,,,,,
2020-08-01,P01,5666.0,104.0,2587.0,1145.0,0.0,528.0,149.0,1750.0,11929.0,,8596.0,7995.0,6517.0,2079.0,0.0,0.0,6075.0,1920.0,0.0,0.0,191.0,89.0,0.0
2020-08-01,P02,9931.0,87.0,1411.0,192.0,0.0,211.0,64.0,2616.0,14512.0,,11993.0,11363.0,8253.0,3740.0,0.0,0.0,7864.0,3499.0,0.0,0.0,118.0,113.0,0.0
2020-08-01,P03,14203.0,126.0,885.0,191.0,0.0,143.0,0.0,3650.0,19199.0,,14994.0,14405.0,11568.0,3426.0,0.0,0.0,11110.0,3295.0,0.0,0.0,176.0,102.0,10.0
2020-08-01,P04,16480.0,215.0,1280.0,272.0,0.0,293.0,0.0,4906.0,23447.0,,22630.0,21795.0,13331.0,9097.0,202.0,0.0,12856.0,8747.0,192.0,0.0,227.0,185.0,0.0
2020-08-01,P05,9589.0,183.0,1036.0,96.0,0.0,192.0,0.0,2528.0,13625.0,,12746.0,12158.0,7387.0,5257.0,102.0,0.0,7160.0,4910.0,88.0,0.0,198.0,116.0,0.0
2020-08-01,P05.0,5595.0,22.0,185.0,19.0,0.0,192.0,0.0,1974.0,7988.0,P05,,,,,,,,,,,,,
2020-08-01,P05.1,1458.0,73.0,513.0,36.0,0.0,0.0,0.0,166.0,2246.0,P05,,,,,,,,,,,,,
2020-08-01,P05.2,1067.0,43.0,109.0,18.0,0.0,0.0,0.0,133.0,1370.0,P05,,,,,,,,,,,,,
2020-08-01,P05.3,73.0,0.0,21.0,0.0,0.0,0.0,0.0,10.0,104.0,P05,,,,,,,,,,,,,
2020-08-01,P05.4,971.0,34.0,185.0,23.0,0.0,0.0,0.0,138.0,1351.0,P05,,,,,,,,,,,,,
2020-08-01,P05.5,377.0,11.0,21.0,0.0,0.0,0.0,0.0,98.0,507.0,P05,,,,,,,,,,,,,
2020-08-01,P05.6,48.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,59.0,P05,,,,,,,,,,,,,
