date,kod_useku,POP_CELKEM,pop_rezidentska,pop_vlastnicka,pop_abonentska,pop_prenosna,pop_carsharing,pop_ekologicka,pop_ostatni,pop_socialni
2019-03-31,P1-0308,1,1,0,0,0,0,0,0,0
2019-03-31,P1-0309,64,40,0,16,0,0,0,1,7
2019-03-31,P1-0310,70,28,0,24,6,0,1,4,7
2019-03-31,P1-0319,60,4,0,22,4,0,3,2,25
2019-03-31,P1-0322,381,0,0,11,5,0,182,182,1
2019-03-31,P1-0323,14,3,0,4,7,0,0,0,0
2019-03-31,P1-0326,42,16,0,17,3,0,0,0,6
2019-03-31,P1-0327,10,7,1,1,0,0,0,0,1
2019-03-31,P1-0328,29,13,1,10,1,0,0,0,4
2019-03-31,P1-0330,30,18,0,6,2,0,0,0,4
2019-03-31,P1-0332,20,10,0,10,0,0,0,0,0
2019-03-31,P1-0333,19,10,1,4,0,0,0,0,4
2019-03-31,P1-0336,19,9,0,7,0,0,1,1,1
2019-03-31,P1-0337,37,26,0,2,1,0,0,0,8
2019-03-31,P1-0340,3,1,0,1,0,0,0,1,0
2019-03-31,P1-0342,40,16,0,7,15,0,0,0,2
2019-03-31,P1-0345,49,31,0,3,4,0,0,1,10
2019-03-31,P1-0346,53,28,0,14,3,0,1,1,6
2019-03-31,P1-0348,38,27,0,1,2,0,1,0,7
2019-03-31,P1-0349,28,18,0,2,3,0,0,0,5
2019-03-31,P1-0352,69,40,1,14,5,0,0,0,9
2019-03-31,P1-0353,14,4,0,6,4,0,0,0,0
2019-03-31,P1-0354,20,4,0,6,8,0,0,1,1
2019-03-31,P1-0355,53,32,0,4,3,0,0,1,13
2019-03-31,P1-0357,6,3,0,1,0,0,0,0,2
2019-03-31,P1-0358,15,11,0,1,0,0,0,1,2
2019-03-31,P1-0360,16,11,0,1,0,0,0,2,2
2019-03-31,P1-0363,19,13,0,2,1,0,0,0,3
2019-03-31,P1-0365,107,72,0,9,7,0,0,0,19
2019-03-31,P1-0367,8,6,0,1,0,0,0,0,1
2019-03-31,P1-0371,32,19,0,3,4,0,1,0,5
2019-03-31,P1-0374,2,0,0,2,0,0,0,0,0
2019-03-31,P1-0375,70,29,0,19,13,0,0,2,7
2019-03-31,P1-0377,92,47,0,25,5,0,1,5,9
2019-03-31,P1-0381,50,30,0,10,1,0,0,1,8
2019-03-31,P1-0382,32,20,0,2,2,0,0,1,7
2019-03-31,P1-0384,70,38,2,9,0,0,6,6,9
2019-03-31,P1-0386,55,35,1,3,0,0,0,3,13
2019-03-31,P1-0387,51,31,0,7,2,0,0,1,10
2019-03-31,P1-0390,13,8,0,3,0,0,0,0,2
2019-03-31,P1-0391,58,26,0,15,5,0,0,2,10
2019-03-31,P1-0393,103,66,2,9,4,0,1,5,16
2019-03-31,P1-0394,25,15,0,6,1,0,0,0,3
2019-03-31,P1-0397,24,14,0,3,2,0,0,1,4
2019-03-31,P1-0399,48,37,0,3,0,0,0,0,8
2019-03-31,P1-0401,50,33,0,4,0,0,1,2,10
2019-03-31,P1-0402,13,10,0,2,0,0,0,0,1
2019-03-31,P1-0403,49,25,0,17,0,0,0,0,7
2019-03-31,P1-0405,39,27,0,2,1,0,0,0,9
2019-03-31,P1-0406,36,24,0,5,0,0,0,4,3
2019-03-31,P1-0411,66,37,0,9,4,0,1,2,13
2019-03-31,P1-0412,13,10,0,3,0,0,0,0,0
2019-03-31,P1-0414,11,0,0,1,0,0,0,10,0
2019-03-31,P1-0415,65,17,0,17,9,0,0,7,15
2019-03-31,P1-0416,13,10,0,0,0,0,0,0,3
2019-03-31,P1-0417,36,2,0,7,27,0,0,0,0
2019-03-31,P1-0419,302,18,0,1,2,0,2,276,3
2019-03-31,P1-0422,12,8,1,1,0,0,0,1,1
2019-03-31,P1-0425,291,43,0,9,6,0,113,107,13
2019-03-31,P1-0426,329,95,0,28,14,0,0,127,65
2019-03-31,P1-0427,115,77,0,11,3,0,0,2,22
2019-03-31,P1-0428,140,104,2,12,0,0,0,3,19
2019-03-31,P1-0430,36,21,1,6,0,0,0,0,8
2019-03-31,P1-0431,12,9,0,0,0,0,0,0,3
2019-03-31,P1-0432,16,8,0,3,0,0,0,1,4
2019-03-31,P1-0440,139,94,0,18,1,0,0,0,26
2019-03-31,P1-0442,131,48,0,37,27,0,2,6,11
2019-03-31,P1-0443,46,22,0,9,3,0,2,4,6
2019-03-31,P1-0445,12,7,1,2,0,0,0,0,2
2019-03-31,P1-0446,118,48,1,44,13,0,0,1,11
2019-03-31,P1-0447,38,6,0,22,6,0,2,0,2
2019-03-31,P1-0449,160,101,1,24,6,0,0,2,26
2019-03-31,P1-0450,96,52,1,26,5,0,1,0,11
2019-03-31,P1-0452,31,10,0,12,2,0,3,2,2
2019-03-31,P1-0453,33,16,0,6,0,0,0,1,10
2019-03-31,P1-0455,11,0,0,9,1,0,0,0,1
2019-03-31,P1-0457,15,6,0,4,1,0,1,1,2
2019-03-31,P1-0460,2,0,0,2,0,0,0,0,0
2019-03-31,P1-0461,65,4,0,10,15,0,0,35,1
2019-03-31,P1-0462,14,2,0,9,0,0,0,3,0
2019-03-31,P1-0464,41,5,0,21,9,0,1,2,3
2019-03-31,P1-0466,35,0,0,15,17,0,0,3,0
2019-03-31,P1-0468,30,5,0,17,1,0,1,4,2
2019-03-31,P1-0470,24,7,0,7,1,0,0,1,8
2019-03-31,P1-0471,17,4,0,6,2,0,0,0,5
2019-03-31,P1-0472,120,52,1,21,19,0,3,9,15
2019-03-31,P1-0476,55,21,0,19,12,0,0,1,2
2019-03-31,P1-0478,30,4,0,12,9,0,1,1,3
2019-03-31,P1-0481,72,48,1,6,1,0,0,2,14
2019-03-31,P1-0482,14,8,0,3,2,0,0,0,1
2019-03-31,P1-0483,52,34,0,6,3,0,0,1,8
2019-03-31,P1-0485,25,11,0,8,3,0,1,1,1
2019-03-31,P1-0486,112,41,1,29,24,0,3,4,10
2019-03-31,P1-0488,35,20,0,10,0,0,0,0,5
2019-03-31,P1-0491,59,13,0,29,13,0,1,2,1
2019-03-31,P1-0493,23,12,0,4,0,0,0,0,7
2019-03-31,P1-0496,14,9,0,3,1,0,0,0,1
2019-03-31,P1-0498,25,2,0,9,13,0,0,0,1
2019-03-31,P1-0499,1,0,0,1,0,0,0,0,0
2019-03-31,P1-0500,49,25,0,14,3,0,1,3,3
2019-03-31,P1-0501,42,0,0,26,7,0,0,9,0
2019-03-31,P1-0502,32,0,0,18,10,0,0,3,1
2019-03-31,P1-0505,2,0,0,1,1,0,0,0,0
2019-03-31,P1-0506,16,1,2,9,3,0,1,0,0
2019-03-31,P1-0508,11,0,0,10,1,0,0,0,0
2019-03-31,P1-0510,44,27,0,5,5,0,0,0,7
2019-03-31,P1-0513,65,38,0,10,1,0,1,0,15
2019-03-31,P1-0514,3,1,0,1,0,0,0,0,1
2019-03-31,P1-0515,28,15,1,6,3,0,0,0,3
2019-03-31,P1-0517,64,34,0,11,8,0,1,0,10
2019-03-31,P1-0518,22,9,0,9,2,0,0,1,1
2019-03-31,P1-0519,22,12,0,4,2,0,0,1,3
2019-03-31,P1-0520,56,28,1,16,0,0,0,2,9
2019-03-31,P1-0522,41,5,0,29,4,0,0,1,2
2019-03-31,P1-0523,95,62,1,11,0,0,0,6,15
2019-03-31,P1-0530,18,1,0,14,2,0,0,1,0
2019-03-31,P1-0532,46,16,1,18,6,0,0,0,5
2019-03-31,P1-0535,145,41,2,54,24,0,0,9,15
2019-03-31,P1-0536,24,4,1,4,13,0,0,0,2
2019-03-31,P1-0537,31,15,0,10,2,0,0,0,4
2019-03-31,P1-0539,73,28,0,11,1,0,0,25,8
2019-03-31,P1-0540,1,0,0,1,0,0,0,0,0
2019-03-31,P1-0543,75,51,1,10,2,0,0,0,11
2019-03-31,P1-0545,74,13,0,45,5,0,2,3,6
2019-03-31,P1-0548,18,16,1,0,0,0,0,0,1
2019-03-31,P1-0551,40,27,0,3,0,0,0,0,10
2019-03-31,P1-0552,10,6,0,1,0,0,0,0,3
2019-03-31,P1-0553,33,25,0,1,0,0,0,1,6
2019-03-31,P1-0555,7,2,1,2,0,0,0,0,2
2019-03-31,P1-0556,68,42,1,2,10,0,0,0,13
2019-03-31,P1-0557,50,38,1,4,0,0,0,0,7
2019-03-31,P1-0559,56,37,0,4,2,0,1,0,12
2019-03-31,P1-0560,30,12,0,7,1,0,0,0,10
2019-03-31,P1-0561,62,9,0,17,4,0,27,1,4
2019-03-31,P1-0564,19,13,0,3,0,0,0,0,3
2019-03-31,P1-0565,31,22,0,7,0,0,0,0,2
2019-03-31,P1-0567,1,0,0,0,0,0,0,0,1
2019-03-31,P1-0569,7,2,0,1,0,0,0,0,4
2019-03-31,P1-0570,24,17,0,1,0,0,1,2,3
2019-03-31,P1-0571,20,15,0,4,0,0,0,0,1
2019-03-31,P1-0572,50,27,3,12,1,0,1,0,6
2019-03-31,P1-0573,46,27,1,5,1,0,0,1,11
2019-03-31,P1-0575,77,35,1,19,7,0,2,6,7
2019-03-31,P1-0577,63,37,0,4,8,0,2,5,7
2019-03-31,P1-0581,1,1,0,0,0,0,0,0,0
2019-03-31,P1-0582,193,103,1,45,17,0,2,2,23
2019-03-31,P1-0584,82,44,0,18,11,0,0,2,7
2019-03-31,P1-0585,79,46,0,21,3,0,0,0,9
2019-03-31,P1-0586,43,20,0,12,8,0,0,0,3
2019-03-31,P1-0590,33,0,0,15,17,0,1,0,0
2019-03-31,P1-0591,18,10,0,5,1,0,0,0,2
2019-03-31,P1-0592,24,0,0,15,6,0,2,1,0
2019-03-31,P1-0599,19,8,0,11,0,0,0,0,0
2019-03-31,P1-0600,9,3,0,5,0,0,0,0,1
2019-03-31,P1-0602,48,28,0,17,0,0,0,0,3
2019-03-31,P1-0604,22,7,0,7,6,0,0,1,1
2019-03-31,P1-0606,9,3,0,2,1,0,0,1,2
2019-03-31,P1-0607,2928,2,2,35,5,837,253,1734,60
2019-03-31,P1-0608,19,12,0,1,0,0,0,4,2
2019-03-31,P1-0609,16,8,0,4,0,0,1,1,2
2019-03-31,P1-0610,27,20,1,1,1,0,0,0,4
2019-03-31,P1-0611,52,45,0,3,0,0,0,0,4
2019-03-31,P1-0612,126,26,1,18,1,0,27,47,6
2019-03-31,P1-0613,9,5,0,3,0,0,1,0,0
2019-03-31,P1-0615,6,1,0,2,1,0,0,1,1
2019-03-31,P1-0626,21,16,0,0,0,0,1,0,4
2019-03-31,P1-0627,14,0,0,4,10,0,0,0,0
2019-03-31,P1-0635,8,0,0,0,0,0,0,8,0
2019-03-31,P10-0103,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0108,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0109,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0114,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0118,50,0,0,0,0,0,0,50,0
2019-03-31,P10-0120,2,0,0,0,0,0,2,0,0
2019-03-31,P10-0133,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0135,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0136,2,0,0,1,0,0,1,0,0
2019-03-31,P10-0140,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0157,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0164,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0165,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0177,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0179,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0190,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0202,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0207,9,6,0,0,0,0,0,0,3
2019-03-31,P10-0208,13,11,0,1,0,0,0,0,1
2019-03-31,P10-0209,4,4,0,0,0,0,0,0,0
2019-03-31,P10-0210,13,13,0,0,0,0,0,0,0
2019-03-31,P10-0213,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0215,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0222,1,0,0,0,0,0,1,0,0
