kod_zsj,nazev_zsj,obyvatel,parkovacich_mist_celkem,parkovacich_mist_v_zps,respektovanost_pct,obsazenost_pct,rezidenti_do_500m_pct,rezidenti_do_125m_pct,rezidenti_od_126m_do_500m_pct,rezidenti_od_501m_do_2000m_pct,rezidenti_nad_2000m_pct,navstevnici_platici_pct,navstevnici_neplatici_pct,volna_mista_pct,rezidentska_pct,vlastnicka_pct,abonentska_pct,prenosna_pct,carsharing_pct,ekologicka_pct,ostatni_pct,socialni_pct,část dne,mestska_cast,filename,date,frekvence,navstevnici_pct,soucet_vsech_typu_pct,navstevnici_neplatici,rezidentska,navstevnici_platici,abonentska,rezidenti_do_125m,rezidenti_nad_2000m,volna_mista,ekologicka,navstevnici,soucet_vsech_typu,carsharing,rezidenti_od_501m_do_2000m,respektovanost,prenosna,vlastnicka,socialni,ostatni,obsazenost,rezidenti_do_500m,rezidenti_od_126m_do_500m
127078,Vodičkova,5060,952,807,0.77,1.19,0.52,0.45,0.17,0.13,0.01,0.1,0.28,0.0,0.49,0.0,0.11,0.04,0.0,0.04,0.0,0.11,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.42,1.21,266.56,466.48,95.2,104.72,428.40000000000003,9.52,0.0,38.08,399.84,1151.92,0.0,123.76,733.04,38.08,0.0,104.72,0.0,1132.8799999999999,495.04,161.84
127086,Vojtěšský obvod,2853,544,497,0.77,0.88,0.56,0.4,0.09,0.08,0.01,0.07,0.2,0.12,0.4,0.0,0.06,0.02,0.0,0.02,0.0,0.1,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.29,1.01,108.80000000000001,217.60000000000002,38.080000000000005,32.64,217.60000000000002,5.44,65.28,10.88,157.76,549.44,0.0,43.52,418.88,10.88,0.0,54.400000000000006,0.0,478.72,304.64000000000004,48.96
127159,Pod Letnou,0,7,7,1.0,0.71,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.29,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.28,0.85,0.0,0.0,0.9800000000000001,0.0,0.0,0.0,2.03,0.9800000000000001,1.9600000000000002,5.95,0.0,0.9800000000000001,7.0,0.9800000000000001,0.0,0.0,0.0,4.97,0.0,0.0
305758,U Čelakovského sadů,38,6,3,0.5,1.44,0.35,0.45,0.06,0.05,0.01,0.05,0.72,0.0,0.33,0.0,0.2,0.03,0.0,0.03,0.0,0.02,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.8,1.41,4.32,1.98,0.30000000000000004,1.2000000000000002,2.7,0.06,0.0,0.18,4.800000000000001,8.459999999999999,0.0,0.30000000000000004,3.0,0.18,0.0,0.12,0.0,8.64,2.0999999999999996,0.36
127027,Jakubský obvod,2593,375,328,0.7,0.62,0.53,0.23,0.1,0.05,0.0,0.03,0.18,0.38,0.2,0.0,0.07,0.04,0.0,0.02,0.0,0.07,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.25,1.03,67.5,75.0,11.25,26.250000000000004,86.25,0.0,142.5,7.5,93.75,386.25,0.0,18.75,262.5,15.0,0.0,26.250000000000004,0.0,232.5,198.75,37.5
127094,Horní malostranský obvod,2006,428,312,0.82,0.91,0.64,0.4,0.18,0.09,0.02,0.02,0.17,0.09,0.41,0.0,0.08,0.06,0.0,0.02,0.0,0.13,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.25,1.04,72.76,175.48,8.56,34.24,171.20000000000002,8.56,38.519999999999996,8.56,107.0,445.12,0.0,38.519999999999996,350.96,25.68,0.0,55.64,0.0,389.48,273.92,77.03999999999999
127116,Strahovská zahrada,20,23,21,0.81,0.21,0.23,0.05,0.0,0.03,0.06,0.02,0.04,0.79,0.13,0.0,0.0,0.0,0.0,0.01,0.0,0.01,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.06,1.0,0.92,2.99,0.46,0.0,1.1500000000000001,1.38,18.17,0.23,1.38,23.0,0.0,0.69,18.630000000000003,0.0,0.0,0.23,0.0,4.83,5.29,0.0
127124,Pohořelec,747,271,247,0.88,0.52,0.54,0.22,0.06,0.05,0.03,0.02,0.06,0.48,0.22,0.0,0.04,0.02,0.0,0.01,0.0,0.07,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.1,0.94,16.259999999999998,59.62,5.42,10.84,59.62,8.129999999999999,130.07999999999998,2.71,27.1,254.73999999999998,0.0,13.55,238.48,5.42,0.0,18.970000000000002,0.0,140.92000000000002,146.34,16.259999999999998
127132,Hrad,138,129,122,0.69,0.52,0.41,0.18,0.03,0.13,0.0,0.0,0.16,0.48,0.23,0.0,0.05,0.0,0.0,0.0,0.0,0.06,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.16,0.98,20.64,29.67,0.0,6.45,23.22,0.0,61.919999999999995,0.0,20.64,126.42,0.0,16.77,89.00999999999999,0.0,0.0,7.739999999999999,0.0,67.08,52.88999999999999,3.8699999999999997
127141,Dolní malostranský obvod,2925,820,640,0.82,0.73,0.65,0.35,0.13,0.08,0.01,0.02,0.13,0.27,0.36,0.0,0.05,0.06,0.0,0.02,0.0,0.09,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.21,1.06,106.60000000000001,295.2,16.4,41.0,287.0,8.2,221.4,16.4,172.2,869.2,0.0,65.6,672.4,49.199999999999996,0.0,73.8,0.0,598.6,533.0,106.60000000000001
127035,Petrský obvod,4234,1080,981,0.81,0.67,0.62,0.35,0.07,0.05,0.01,0.05,0.13,0.33,0.33,0.0,0.04,0.04,0.0,0.02,0.0,0.07,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.22,1.05,140.4,356.40000000000003,54.0,43.2,378.0,10.8,356.40000000000003,21.6,237.6,1134.0,0.0,54.0,874.8000000000001,43.2,0.0,75.60000000000001,0.0,723.6,669.6,75.60000000000001
127051,Jindřišský obvod,3035,1147,1058,0.66,0.69,0.35,0.18,0.06,0.07,0.0,0.09,0.23,0.31,0.18,0.0,0.06,0.03,0.0,0.03,0.0,0.04,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.35,1.0,263.81,206.45999999999998,103.22999999999999,68.82,206.45999999999998,0.0,355.57,34.41,401.45,1147.0,0.0,80.29,757.02,34.41,0.0,45.88,0.0,791.43,401.45,68.82
127060,Smetanovo divadlo,0,17,15,0.17,0.13,0.1,0.0,0.01,0.01,0.0,0.0,0.11,0.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.11,1.0,1.87,0.34,0.0,0.0,0.0,0.0,14.79,0.0,1.87,17.0,0.0,0.17,2.89,0.0,0.0,0.0,0.0,2.21,1.7000000000000002,0.17
126993,Betlémský obvod,4100,1134,971,0.78,0.78,0.54,0.31,0.11,0.07,0.0,0.05,0.17,0.22,0.3,0.0,0.07,0.04,0.0,0.02,0.0,0.09,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.26,1.0,192.78,340.2,56.7,79.38000000000001,351.54,0.0,249.48,22.68,294.84000000000003,1134.0,0.0,79.38000000000001,884.52,45.36,0.0,102.06,0.0,884.52,612.36,124.74
127001,Josefov,1460,398,380,0.79,0.54,0.62,0.27,0.07,0.05,0.0,0.03,0.11,0.46,0.23,0.0,0.06,0.02,0.0,0.02,0.0,0.07,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.16,1.02,43.78,91.54,11.94,23.88,107.46000000000001,0.0,183.08,7.96,63.68,405.96,0.0,19.900000000000002,314.42,7.96,0.0,27.860000000000003,0.0,214.92000000000002,246.76,27.860000000000003
127019,Haštalský obvod,2685,1203,1108,0.75,0.8,0.58,0.36,0.1,0.07,0.0,0.05,0.2,0.2,0.3,0.0,0.08,0.05,0.0,0.03,0.0,0.09,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.3,1.05,240.60000000000002,360.9,60.150000000000006,96.24000000000001,433.08,0.0,240.60000000000002,36.089999999999996,360.9,1263.15,0.0,84.21000000000001,902.25,60.150000000000006,0.0,108.27,0.0,962.4000000000001,697.7399999999999,120.30000000000001
127078,Vodičkova,5060,952,807,0.75,1.01,0.56,0.41,0.15,0.09,0.01,0.06,0.25,0.0,0.46,0.0,0.06,0.03,0.0,0.02,0.0,0.1,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.34,1.01,238.0,437.92,57.12,57.12,390.32,9.52,0.0,19.04,323.68,961.52,0.0,85.67999999999999,714.0,28.56,0.0,95.2,0.0,961.52,533.12,142.79999999999998
127086,Vojtěšský obvod,2853,544,497,0.84,0.82,0.67,0.45,0.1,0.09,0.01,0.03,0.14,0.18,0.46,0.01,0.05,0.02,0.0,0.01,0.0,0.11,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.19,1.03,76.16000000000001,250.24,16.32,27.200000000000003,244.8,5.44,97.92,5.44,103.36,560.32,0.0,48.96,456.96,10.88,5.44,59.84,0.0,446.08,364.48,54.400000000000006
305758,U Čelakovského sadů,38,6,3,0.31,0.5,0.23,0.07,0.05,0.03,0.0,0.0,0.35,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,noc,P1,P01-OR_202311N_NJ.json,2023-11-30,měsíční,0.35,0.99,2.0999999999999996,0.8400000000000001,0.0,0.0,0.42000000000000004,0.0,3.0,0.0,2.0999999999999996,5.9399999999999995,0.0,0.18,1.8599999999999999,0.0,0.0,0.0,0.0,3.0,1.3800000000000001,0.30000000000000004
132268,Vršovice-západ,2479,56,55,0.79,0.85,0.6,0.45,0.06,0.09,0.03,0.02,0.18,0.15,0.55,0.01,0.02,0.0,0.0,0.01,0.0,0.05,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.2,0.99,10.08,30.800000000000004,1.12,1.12,25.2,1.68,8.4,0.56,11.200000000000001,55.44,0.0,5.04,44.24,0.0,0.56,2.8000000000000003,0.0,47.6,33.6,3.36
