date,mestska_cast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,POP_CELKEM,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2019-07-01,P05,7586.0,123.0,897.0,84.0,0.0,35.0,0.0,2078.0,10803.0,10136.0,9565.0,4890.0,5020.0,226.0,0.0,4691.0,4668.0,206.0,0.0,191.0,112.0,0.0
2019-07-01,P06,17731.0,146.0,1111.0,105.0,0.0,36.0,1.0,5728.0,24858.0,21906.0,20933.0,13537.0,8364.0,5.0,0.0,13070.0,7858.0,5.0,0.0,249.0,188.0,0.0
2019-07-01,P07,8561.0,60.0,511.0,97.0,0.0,8.0,0.0,2082.0,11319.0,9717.0,9289.0,6918.0,2219.0,580.0,0.0,6569.0,2166.0,554.0,0.0,93.0,95.0,0.0
2019-07-01,P08,11000.0,102.0,723.0,166.0,0.0,33.0,5.0,4018.0,16047.0,15178.0,14599.0,9802.0,5267.0,109.0,0.0,9499.0,5006.0,94.0,0.0,175.0,99.0,0.0
2019-08-01,P01,5539.0,93.0,2312.0,1110.0,0.0,143.0,185.0,1638.0,11020.0,8645.0,8004.0,6520.0,2094.0,0.0,31.0,6060.0,1926.0,0.0,18.0,189.0,90.0,0.0
2019-08-01,P02,9667.0,90.0,1323.0,201.0,0.0,63.0,55.0,2529.0,13928.0,12046.0,11365.0,7705.0,4341.0,0.0,0.0,7336.0,4029.0,0.0,0.0,118.0,125.0,0.0
2019-08-01,P03,13391.0,94.0,775.0,197.0,0.0,34.0,0.0,3499.0,17990.0,14994.0,14390.0,10482.0,4512.0,0.0,0.0,10047.0,4343.0,0.0,0.0,175.0,122.0,0.0
2019-08-01,P04,11817.0,162.0,865.0,187.0,0.0,100.0,0.0,3584.0,16715.0,16334.0,15619.0,8602.0,7503.0,229.0,0.0,8221.0,7184.0,214.0,0.0,214.0,141.0,0.0
2019-08-01,P05,7213.0,116.0,862.0,81.0,0.0,61.0,0.0,2027.0,10360.0,10136.0,9564.0,4890.0,5020.0,226.0,0.0,4691.0,4667.0,206.0,0.0,191.0,112.0,0.0
2019-08-01,P06,16840.0,146.0,1089.0,106.0,0.0,79.0,1.0,5527.0,23788.0,21912.0,20939.0,13543.0,8364.0,5.0,0.0,13076.0,7858.0,5.0,0.0,249.0,188.0,0.0
