house_code,usek_code
21697167,P1-0186
21697183,P1-0186
21697205,P1-0186
21697230,P1-0172
21697248,P1-0172
21697256,P1-0172
21697272,P1-0172
21697281,P1-0172
21697311,P1-0174
21697329,P1-0174
21697345,P1-0171
21697353,P1-0171
21697370,P1-0171
21697388,P1-0147
21697400,P1-0147
21697426,P1-0145
21697493,P1-0139
21697507,P1-0139
21697523,P1-0143
21697531,P1-0137
21697558,P1-0137
21697566,P1-0124
21697574,P1-0137
21697582,P1-0138
21697591,P1-0124
21697612,P1-0137
21697655,P1-0138
21697736,P1-0143
21697744,P1-0143
21697779,P1-0139
21697787,P1-0139
21697795,P1-0139
21697809,P1-0139
21697817,P1-0139
21697825,P1-0139
21697850,P1-0112
21697914,P1-0139
21697981,P1-0139
21698007,P1-0143
21698015,P1-0139
21698040,P1-0139
21698066,P1-0139
21698112,P1-0139
21698121,P1-0139
21698147,P1-0139
21698163,P1-0139
21698171,P1-0139
21698201,P1-0139
21698261,P1-0145
21698279,P1-0145
21698295,P1-0145
21698309,P1-0145
21698317,P1-0145
21698333,P1-0145
21698341,P1-0147
21698350,P1-0147
21698368,P1-0147
21698376,P1-0147
21698414,P1-0147
21698422,P1-0170
21698431,P1-0170
21698449,P1-0170
21698457,P1-0170
21698473,P1-0170
21698490,P1-0170
21698571,P1-0148
21698597,P1-0148
21698601,P1-0148
21698627,P1-0148
21698635,P1-0150
21698643,P1-0148
21698651,P1-0148
21698678,P1-0148
21698686,P1-0150
21698694,P1-0150
21698708,P1-0150
21698716,P1-0150
21698724,P1-0150
21698732,P1-0150
21698767,P1-0150
21698783,P1-0150
21698813,P1-0150
21698856,P1-0150
21698864,P1-0150
21698872,P1-0150
21698899,P1-0150
21698911,P1-0150
21698929,P1-0150
21698937,P1-0150
21698945,P1-0150
21698953,P1-0150
21698970,P1-0164
21698988,P1-0164
21698996,P1-0150
21699003,P1-0164
21699011,P1-0163
21699020,P1-0164
21699038,P1-0164
21699046,P1-0164
21699054,P1-0163
21699071,P1-0163
21699101,P1-0160
21699127,P1-0163
21699160,P5-1418
21699178,P1-0157
21699194,P1-0157
21699208,P1-0162
21699216,P1-0163
21699224,P1-0162
21699232,P1-0150
21699259,P1-0150
21699267,P1-0150
21699275,P1-0182
21699283,P1-0150
21699291,P1-0165
21699330,P1-0165
21699399,P1-0168
21699411,P1-0165
21699470,P1-0168
21699518,P1-0167
21699526,P1-0167
21699577,P1-0174
21699585,P1-0174
21699640,P1-0174
21699721,P1-0172
21699763,P1-0163
21699771,P1-0183
21699798,P1-0182
21699801,P1-0183
21699810,P1-0182
21699828,P1-0182
21699836,P1-0182
21699861,P1-0182
21699879,P1-0182
21699887,P1-0181
21699925,P1-0182
21700001,P1-0181
21700010,P1-0181
21700028,P1-0181
21700036,P1-0181
21700044,P1-0610
21700052,P1-0610
21700061,P1-0610
21700125,P1-0124
21700133,P1-0194
21700141,P1-0138
21700184,P1-0201
