MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202212	9217	7953	7039	2050	29	99	6126	1798	29	0	214	89	2
P02	202212	12236	11327	8447	3739	2	48	7897	3428	2	0	131	112	1
P03	202212	15100	14411	11741	3359	0	0	11196	3215	0	0	185	103	11
P04	202212	22818	21767	13659	8943	206	10	13107	8484	176	0	257	185	0
P05	202212	20328	19443	10326	9818	169	15	10004	9320	119	0	242	104	35
P06	202212	28585	27253	19530	9005	5	45	18842	8406	5	0	299	195	11
P07	202212	9778	9235	6968	2189	611	10	6572	2104	559	0	105	69	25
P08	202212	15565	14785	10005	5384	92	84	9636	5058	91	0	201	85	17
P09	202212	10711	10273	0	10708	0	3	0	10273	0	0	99	53	60
P10	202212	25630	24762	18208	7220	138	64	17727	6931	104	0	158	91	21
P13	202212	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202212	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202212	3622	3489	0	3622	0	0	0	3489	0	0	31	6	15
P22	202212	131	120	0	0	131	0	0	0	120	0	5	3	0
