MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202312	9160	7842	6837	2021	50	252	6056	1736	50	0	218	88	4
P02	202312	12222	11268	8456	3716	2	48	7861	3405	2	0	132	113	1
P03	202312	15088	14402	11729	3359	0	0	11191	3211	0	0	188	103	11
P04	202312	22925	21873	13761	8945	209	10	13207	8487	179	0	256	170	15
P05	202312	20280	19377	10273	9817	169	21	9945	9314	118	0	243	104	37
P06	202312	28763	27214	19542	9173	5	43	18651	8558	5	0	299	199	13
P07	202312	9707	9268	6952	2148	602	5	6667	2052	549	0	105	67	25
P08	202312	15792	15002	10268	5367	73	84	9882	5049	71	0	201	85	17
P09	202312	10920	10496	0	10920	0	0	0	10496	0	0	100	53	60
P10	202312	25573	24717	18146	7228	135	64	17680	6933	104	0	161	90	21
P13	202312	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202312	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202312	3924	3766	0	3924	0	0	0	3766	0	0	46	6	18
P22	202312	131	120	0	0	131	0	0	0	120	0	5	3	0
