MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201908	8645	8004	6520	2094	0	31	6060	1926	0	18	189	90	0
P02	201908	12046	11365	7705	4341	0	0	7336	4029	0	0	118	125	0
P03	201908	14994	14390	10482	4512	0	0	10047	4343	0	0	175	122	0
P04	201908	16334	15619	8602	7503	229	0	8221	7184	214	0	214	141	0
P05	201908	10136	9564	4890	5020	226	0	4691	4667	206	0	191	112	0
P06	201908	21912	20939	13543	8364	5	0	13076	7858	5	0	249	188	0
P07	201908	9717	9289	6918	2219	580	0	6569	2166	554	0	93	95	0
P08	201908	15165	14584	9788	5268	109	0	9483	5007	94	0	175	99	0
P13	201908	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201908	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201908	126	120	0	0	126	0	0	0	120	0	4	3	0
