MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202009	8567	7968	6514	2053	0	0	6075	1893	0	0	188	89	0
P02	202009	11989	11356	8249	3740	0	0	7855	3501	0	0	119	113	0
P03	202009	14987	14398	11568	3419	0	0	11109	3289	0	0	175	102	10
P04	202009	22628	21791	13329	9097	202	0	12853	8746	192	0	227	185	0
P05	202009	12719	12131	7377	5240	102	0	7150	4893	88	0	198	116	0
P06	202009	25937	24899	17087	8845	5	0	16577	8317	5	0	267	191	10
P07	202009	9714	9287	6945	2198	569	2	6597	2140	550	0	100	69	25
P08	202009	15014	14443	9865	5040	109	0	9564	4785	94	0	178	83	15
P09	202009	3809	3656	0	3809	0	0	0	3656	0	0	47	66	0
P10	202009	9286	8932	5435	3817	34	0	5254	3644	34	0	63	50	0
P13	202009	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202009	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202009	126	120	0	0	126	0	0	0	120	0	4	3	0
