MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202107	8579	7952	6555	2024	0	0	6095	1857	0	0	188	87	0
P02	202107	12015	11380	8308	3707	0	0	7913	3467	0	0	118	113	0
P03	202107	15083	14489	11676	3407	0	0	11211	3278	0	0	175	102	9
P04	202107	22591	21758	13440	8948	203	0	12970	8600	188	0	234	184	0
P05	202107	14407	13790	9593	4712	102	0	9288	4415	87	0	208	105	3
P06	202107	27718	26637	18825	8888	5	0	18271	8361	5	0	274	195	10
P07	202107	9720	9297	6947	2202	569	2	6605	2142	550	0	101	69	25
P08	202107	15334	14754	9913	5312	109	0	9618	5042	94	0	181	83	17
P09	202107	10627	10247	0	10627	0	0	0	10247	0	0	94	53	61
P10	202107	25497	24751	18202	7169	126	0	17714	6933	104	0	137	91	21
P13	202107	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202107	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202107	3505	3401	0	3505	0	0	0	3401	0	0	31	5	16
P22	202107	126	120	0	0	126	0	0	0	120	0	4	3	0
