MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202302	9205	7948	7037	2044	29	95	6128	1791	29	0	214	89	2
P02	202302	12242	11339	8447	3745	2	48	7898	3439	2	0	131	112	1
P03	202302	15100	14410	11741	3359	0	0	11195	3215	0	0	185	103	11
P04	202302	22921	21862	13761	8941	209	10	13204	8479	179	0	257	185	0
P05	202302	20345	19458	10344	9817	169	15	10021	9318	119	0	243	104	35
P06	202302	28588	27252	19536	9002	5	45	18846	8401	5	0	299	193	13
P07	202302	9739	9316	6935	2190	609	5	6654	2105	557	0	105	69	25
P08	202302	15576	14780	10015	5384	93	84	9637	5052	91	0	201	85	17
P09	202302	10750	10338	0	10750	0	0	0	10338	0	0	100	53	60
P10	202302	25627	24765	18208	7220	135	64	17730	6931	104	0	161	91	21
P13	202302	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202302	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202302	3622	3487	0	3622	0	0	0	3487	0	0	32	6	15
P22	202302	131	120	0	0	131	0	0	0	120	0	5	3	0
