MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202412	9150	7771	6864	1982	50	254	6041	1680	50	0	219	91	3
P02	202412	12234	11269	8457	3724	2	51	7851	3416	2	0	131	113	1
P03	202412	15064	14363	11722	3342	0	0	11179	3184	0	0	190	103	11
P04	202412	22913	21880	13768	8936	199	10	13231	8480	169	0	259	170	15
P05	202412	20266	19386	10337	9739	169	21	10009	9259	118	0	241	106	37
P06	202412	28878	27356	19482	9348	5	43	18613	8738	5	0	299	199	21
P07	202412	9709	9208	6988	2105	606	10	6652	2009	547	0	106	64	23
P08	202412	16589	15767	11020	5434	51	84	10631	5104	32	0	204	85	17
P09	202412	10953	10517	0	10953	0	0	0	10517	0	0	107	53	57
P10	202412	25594	24766	18154	7284	94	62	17710	6986	70	0	161	90	21
P13	202412	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202412	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202412	3937	3750	0	3937	0	0	0	3750	0	0	48	6	18
P22	202412	131	120	0	0	131	0	0	0	120	0	5	3	0
