MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202103	8577	7967	6551	2026	0	0	6105	1862	0	0	187	87	0
P02	202103	11992	11361	8285	3707	0	0	7894	3467	0	0	117	113	0
P03	202103	15089	14496	11670	3419	0	0	11207	3289	0	0	174	101	9
P04	202103	22763	21927	13450	9111	202	0	12975	8760	192	0	232	185	0
P05	202103	14389	13773	9584	4703	102	0	9283	4403	87	0	208	105	3
P06	202103	27784	26698	18855	8924	5	0	18301	8392	5	0	273	195	10
P07	202103	9711	9291	6942	2198	569	2	6599	2142	550	0	101	69	25
P08	202103	15108	14531	9912	5087	109	0	9611	4826	94	0	180	83	16
P09	202103	3808	3656	0	3808	0	0	0	3656	0	0	47	47	19
P10	202103	19740	19084	13628	6050	62	0	13217	5807	60	0	105	91	0
P13	202103	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202103	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202103	126	120	0	0	126	0	0	0	120	0	4	3	0
