MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202205	8515	7865	6562	1953	0	0	6090	1775	0	0	192	86	0
P02	202205	11964	11337	8287	3677	0	0	7911	3426	0	0	119	113	0
P03	202205	15012	14415	11663	3349	0	0	11198	3217	0	0	174	103	11
P04	202205	22549	21726	13412	8934	203	0	12951	8587	188	0	230	185	0
P05	202205	20404	19628	10532	9727	145	0	10219	9293	116	0	226	103	35
P06	202205	28402	27287	19412	8980	5	5	18835	8447	5	0	274	197	11
P07	202205	9681	9239	6929	2195	552	5	6586	2123	530	0	101	67	25
P08	202205	15349	14767	9913	5326	110	0	9621	5055	91	0	181	85	17
P09	202205	10637	10259	0	10637	0	0	0	10259	0	0	93	53	60
P10	202205	25472	24732	18188	7158	126	0	17714	6914	104	0	143	91	21
P13	202205	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202205	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202205	3603	3498	0	3603	0	0	0	3498	0	0	31	6	15
P22	202205	126	120	0	0	126	0	0	0	120	0	4	3	0
