MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201812	8682	8026	6555	2096	0	31	6078	1930	0	18	197	90	0
P02	201812	12120	11515	7648	4472	0	0	7303	4212	0	0	119	125	0
P03	201812	14947	14354	10431	4516	0	0	10010	4344	0	0	171	123	0
P04	201812	16586	15807	8637	7720	229	0	8225	7370	212	0	282	142	0
P05	201812	10172	9599	4883	5063	226	0	4682	4710	207	0	187	111	0
P06	201812	21897	20920	13544	8348	5	0	13079	7836	5	0	252	189	0
P07	201812	9638	9226	6901	2158	579	0	6545	2127	554	0	89	93	0
P08	201812	15121	14539	9815	5197	109	0	9507	4938	94	0	177	99	0
P13	201812	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201812	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201812	126	120	0	0	126	0	0	0	120	0	4	3	0
