MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202005	8625	8027	6528	2097	0	0	6083	1944	0	0	187	89	0
P02	202005	12020	11392	8264	3756	0	0	7877	3515	0	0	118	113	0
P03	202005	14970	14376	10499	4471	0	0	10071	4305	0	0	175	123	0
P04	202005	22615	21767	13331	9082	202	0	12849	8726	192	0	228	185	0
P05	202005	12750	12164	7391	5257	102	0	7165	4911	88	0	198	117	0
P06	202005	25924	24869	17054	8865	5	0	16534	8330	5	0	267	200	0
P07	202005	9753	9335	6936	2253	564	0	6591	2197	547	0	97	94	0
P08	202005	15008	14446	9854	5045	109	0	9556	4796	94	0	175	97	0
P09	202005	3810	3662	0	3810	0	0	0	3662	0	0	47	65	0
P13	202005	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202005	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202005	126	120	0	0	126	0	0	0	120	0	4	3	0
