MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202603	9192	7806	6909	1972	57	254	6088	1661	57	0	218	92	3
P02	202603	12206	11362	8513	3645	4	44	8016	3342	4	0	130	109	1
P03	202603	15110	14395	11792	3318	0	0	11235	3160	0	0	202	103	11
P04	202603	22897	21825	13768	8922	197	10	13226	8445	154	0	264	170	15
P05	202603	20222	19347	10263	9770	168	21	9942	9286	119	0	241	106	38
P06	202603	28779	27419	19390	9332	14	43	18668	8737	14	0	302	200	21
P07	202603	9662	9089	7003	2061	585	13	6623	1954	512	0	108	64	21
P08	202603	18931	18033	12672	6124	51	84	12250	5751	32	0	216	88	23
P09	202603	10754	10309	0	10754	0	0	0	10309	0	0	107	52	57
P10	202603	25614	24813	18171	7287	94	62	17729	7014	70	0	161	88	21
P13	202603	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202603	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202603	3976	3782	0	3976	0	0	0	3782	0	0	48	6	18
P22	202603	131	120	0	0	131	0	0	0	120	0	5	3	0
