MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202403	9168	7840	6845	2021	50	252	6055	1735	50	0	219	90	3
P02	202403	12223	11269	8457	3716	2	48	7861	3406	2	0	132	113	1
P03	202403	15085	14405	11721	3364	0	0	11189	3216	0	0	187	103	11
P04	202403	22902	21859	13753	8940	199	10	13208	8482	169	0	256	170	15
P05	202403	20272	19376	10268	9814	169	21	9945	9313	118	0	243	105	37
P06	202403	28712	27169	19512	9152	5	43	18622	8542	5	0	300	199	13
P07	202403	9707	9269	6952	2143	602	10	6667	2053	549	0	105	67	25
P08	202403	15809	15009	10285	5367	73	84	9899	5039	71	0	201	85	17
P09	202403	10894	10474	0	10894	0	0	0	10474	0	0	100	53	57
P10	202403	25574	24728	18146	7270	94	64	17684	6974	70	0	161	91	21
P13	202403	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202403	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202403	3920	3759	0	3920	0	0	0	3759	0	0	45	6	18
P22	202403	131	120	0	0	131	0	0	0	120	0	5	3	0
