MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202301	9204	7947	7036	2044	29	95	6127	1791	29	0	214	89	2
P02	202301	12235	11331	8447	3738	2	48	7897	3432	2	0	131	112	1
P03	202301	15100	14411	11741	3359	0	0	11196	3215	0	0	185	103	11
P04	202301	22915	21863	13757	8939	209	10	13204	8480	179	0	257	185	0
P05	202301	20328	19443	10326	9818	169	15	10004	9320	119	0	242	104	35
P06	202301	28587	27252	19535	9002	5	45	18845	8402	5	0	300	195	11
P07	202301	9778	9234	6968	2189	611	10	6571	2104	559	0	105	69	25
P08	202301	15555	14773	10005	5374	92	84	9636	5046	91	0	200	85	17
P09	202301	10752	10304	0	10752	0	0	0	10304	0	0	100	53	57
P10	202301	25629	24763	18210	7220	135	64	17729	6930	104	0	161	91	21
P13	202301	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202301	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202301	3622	3488	0	3622	0	0	0	3488	0	0	32	6	15
P22	202301	131	120	0	0	131	0	0	0	120	0	5	3	0
