MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202309	9203	7909	6891	2010	50	252	6118	1741	50	0	215	88	4
P02	202309	12260	11323	8463	3747	2	48	7887	3434	2	0	131	113	1
P03	202309	15091	14407	11731	3360	0	0	11193	3214	0	0	187	103	11
P04	202309	22913	21858	13760	8934	209	10	13204	8475	179	0	256	170	15
P05	202309	20247	19343	10280	9777	169	21	9952	9273	118	0	243	104	35
P06	202309	28692	27315	19470	9172	5	45	18752	8558	5	0	300	198	13
P07	202309	9686	9254	6916	2149	616	5	6634	2056	564	0	103	66	25
P08	202309	15762	14974	10240	5345	93	84	9858	5025	91	0	201	85	17
P09	202309	10881	10461	0	10881	0	0	0	10461	0	0	100	53	60
P10	202309	25576	24716	18148	7229	135	64	17677	6935	104	0	161	91	21
P13	202309	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202309	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202309	3591	3453	0	3591	0	0	0	3453	0	0	33	6	15
P22	202309	131	120	0	0	131	0	0	0	120	0	5	3	0
