MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202406	9142	7779	6857	1981	50	254	6046	1683	50	0	221	91	3
P02	202406	12220	11265	8454	3716	2	48	7859	3404	2	0	132	113	1
P03	202406	15082	14397	11726	3356	0	0	11190	3207	0	0	191	99	11
P04	202406	22888	21853	13744	8935	199	10	13204	8480	169	0	258	170	15
P05	202406	20278	19386	10274	9814	169	21	9948	9319	119	0	243	105	37
P06	202406	28787	27246	19498	9241	5	43	18614	8627	5	0	300	198	17
P07	202406	9730	9272	6979	2134	607	10	6683	2041	548	0	105	67	25
P08	202406	15849	15031	10292	5422	51	84	9903	5096	32	0	202	85	17
P09	202406	10854	10434	0	10854	0	0	0	10434	0	0	101	53	57
P10	202406	25570	24735	18130	7284	94	62	17676	6989	70	0	162	91	21
P13	202406	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202406	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202406	3922	3760	0	3922	0	0	0	3760	0	0	46	6	18
P22	202406	131	120	0	0	131	0	0	0	120	0	5	3	0
