MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202503	9170	7786	6885	1981	50	254	6057	1679	50	0	219	91	3
P02	202503	12228	11254	8541	3634	2	51	7925	3327	2	0	131	110	1
P03	202503	15061	14362	11724	3337	0	0	11182	3180	0	0	193	103	11
P04	202503	22874	21834	13768	8897	199	10	13226	8439	169	0	258	170	15
P05	202503	20254	19388	10322	9742	169	21	10005	9265	118	0	241	105	37
P06	202503	28910	27387	19480	9382	5	43	18611	8771	5	0	300	199	21
P07	202503	9661	9137	6994	2076	579	12	6642	1979	516	0	105	63	22
P08	202503	18602	17744	12658	5809	51	84	12249	5463	32	0	213	85	17
P09	202503	11004	10564	0	11004	0	0	0	10564	0	0	107	52	57
P10	202503	25595	24794	18155	7284	94	62	17715	7009	70	0	161	89	21
P13	202503	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202503	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202503	3936	3749	0	3936	0	0	0	3749	0	0	48	6	18
P22	202503	131	120	0	0	131	0	0	0	120	0	5	3	0
