MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202401	9160	7842	6837	2021	50	252	6056	1736	50	0	218	90	3
P02	202401	12222	11266	8456	3716	2	48	7859	3405	2	0	132	113	1
P03	202401	15078	14399	11719	3359	0	0	11188	3211	0	0	188	103	11
P04	202401	22916	21862	13756	8941	209	10	13201	8482	179	0	256	170	15
P05	202401	20279	19376	10273	9816	169	21	9945	9313	118	0	243	104	37
P06	202401	28752	27204	19531	9173	5	43	18641	8558	5	0	299	199	13
P07	202401	9707	9268	6952	2148	602	5	6667	2052	549	0	105	67	25
P08	202401	15790	14998	10266	5367	73	84	9878	5049	71	0	201	85	17
P09	202401	10888	10463	0	10888	0	0	0	10463	0	0	100	53	57
P10	202401	25575	24719	18148	7228	135	64	17682	6933	104	0	161	90	21
P13	202401	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202401	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202401	3924	3765	0	3924	0	0	0	3765	0	0	46	6	18
P22	202401	131	120	0	0	131	0	0	0	120	0	5	3	0
