MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202605	9194	7806	6911	1972	57	254	6092	1657	57	0	218	92	3
P02	202605	12210	11360	8504	3647	4	55	8014	3342	4	0	130	110	1
P03	202605	15108	14392	11791	3317	0	0	11234	3158	0	0	203	103	11
P04	202605	22888	21816	13758	8923	197	10	13218	8444	154	0	264	170	15
P05	202605	20333	19457	10259	9885	168	21	9937	9401	119	0	243	106	38
P06	202605	28786	27520	19396	9333	14	43	18769	8737	14	0	302	200	21
P07	202605	9656	9083	6983	2061	585	27	6617	1954	512	0	108	64	21
P08	202605	18905	18005	12647	6123	51	84	12224	5749	32	0	216	88	23
P09	202605	10876	10427	0	10876	0	0	0	10427	0	0	107	53	57
P10	202605	25610	24808	18170	7284	94	62	17725	7013	70	0	162	88	21
P13	202605	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202605	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202605	3983	3770	0	3983	0	0	0	3770	0	0	48	6	18
P22	202605	131	120	0	0	131	0	0	0	120	0	5	3	0
