MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202208	9129	7866	6989	2012	29	99	6082	1755	29	0	213	85	0
P02	202208	12234	11337	8444	3744	0	46	7908	3429	0	0	131	113	0
P03	202208	15125	14431	11761	3364	0	0	11214	3217	0	0	183	103	11
P04	202208	22839	21790	13562	9042	225	10	13016	8586	188	0	257	185	0
P05	202208	20560	19645	10536	9840	169	15	10203	9323	119	0	241	104	35
P06	202208	28619	27271	19536	9025	5	53	18846	8420	5	0	303	194	11
P07	202208	9792	9252	6974	2197	611	10	6580	2113	559	0	103	68	25
P08	202208	15570	14767	10002	5371	113	84	9632	5044	91	0	201	85	17
P09	202208	10709	10261	0	10706	0	3	0	10261	0	0	97	53	60
P10	202208	25613	24735	18209	7200	140	64	17717	6914	104	0	158	91	21
P13	202208	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202208	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202208	3619	3488	0	3619	0	0	0	3488	0	0	31	6	15
P22	202208	131	120	0	0	131	0	0	0	120	0	5	3	0
