MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202008	8596	7995	6517	2079	0	0	6075	1920	0	0	191	89	0
P02	202008	11993	11363	8253	3740	0	0	7864	3499	0	0	118	113	0
P03	202008	14994	14405	11568	3426	0	0	11110	3295	0	0	176	102	10
P04	202008	22630	21795	13331	9097	202	0	12856	8747	192	0	227	185	0
P05	202008	12746	12158	7387	5257	102	0	7160	4910	88	0	198	116	0
P06	202008	25895	24859	17088	8802	5	0	16579	8275	5	0	267	190	10
P07	202008	9713	9295	6948	2194	569	2	6607	2138	550	0	98	94	0
P08	202008	15001	14430	9854	5038	109	0	9552	4784	94	0	178	98	0
P09	202008	3809	3656	0	3809	0	0	0	3656	0	0	47	65	0
P10	202008	9286	8938	5435	3817	34	0	5256	3648	34	0	63	50	0
P13	202008	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202008	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202008	126	120	0	0	126	0	0	0	120	0	4	3	0
