MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202510	9176	7797	6896	1969	57	254	6078	1662	57	0	218	92	3
P02	202510	12201	11354	8505	3643	4	49	8009	3341	4	0	130	110	1
P03	202510	15106	14413	11788	3318	0	0	11254	3159	0	0	199	103	11
P04	202510	22877	21803	13771	8899	197	10	13224	8426	153	0	264	170	15
P05	202510	20267	19394	10323	9754	169	21	10000	9276	118	0	240	105	38
P06	202510	28966	27429	19596	9313	14	43	18706	8709	14	0	302	198	21
P07	202510	9616	9052	6997	2060	546	13	6620	1956	476	0	106	63	21
P08	202510	18934	18045	12674	6125	51	84	12261	5752	32	0	216	88	23
P09	202510	10809	10370	0	10809	0	0	0	10370	0	0	107	51	57
P10	202510	25597	24799	18158	7283	94	62	17719	7010	70	0	161	90	21
P13	202510	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202510	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202510	3977	3784	0	3977	0	0	0	3784	0	0	48	6	18
P22	202510	131	120	0	0	131	0	0	0	120	0	5	3	0
