MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202012	8576	7978	6551	2025	0	0	6112	1866	0	0	183	87	0
P02	202012	11992	11363	8285	3707	0	0	7896	3467	0	0	119	113	0
P03	202012	15077	14485	11658	3419	0	0	11196	3289	0	0	173	105	10
P04	202012	22760	21925	13446	9112	202	0	12972	8761	192	0	231	185	0
P05	202012	12761	12178	7387	5272	102	0	7161	4930	87	0	196	101	16
P06	202012	27780	26697	18849	8926	5	0	18299	8393	5	0	273	195	10
P07	202012	9711	9285	6942	2198	569	2	6595	2140	550	0	101	69	25
P08	202012	15119	14543	9921	5089	109	0	9621	4828	94	0	179	83	16
P09	202012	3808	3655	0	3808	0	0	0	3655	0	0	47	66	0
P10	202012	19735	19081	13623	6050	62	0	13213	5808	60	0	105	91	0
P13	202012	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202012	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202012	126	120	0	0	126	0	0	0	120	0	4	3	0
