MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202105	8581	7967	6555	2026	0	0	6105	1862	0	0	189	87	0
P02	202105	11992	11361	8285	3707	0	0	7893	3468	0	0	117	113	0
P03	202105	15088	14493	11669	3419	0	0	11205	3288	0	0	175	101	9
P04	202105	22758	21927	13445	9111	202	0	12973	8762	192	0	232	185	0
P05	202105	14412	13795	9617	4693	102	0	9312	4396	87	0	208	105	3
P06	202105	27723	26621	18827	8891	5	0	18260	8356	5	0	273	195	10
P07	202105	9721	9297	6948	2202	569	2	6605	2142	550	0	101	69	25
P08	202105	15335	14753	9914	5312	109	0	9617	5042	94	0	181	83	17
P09	202105	10648	10268	0	10648	0	0	0	10268	0	0	94	53	61
P10	202105	19740	19105	13627	6051	62	0	13229	5816	60	0	105	91	0
P13	202105	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202105	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202105	3533	3429	0	3533	0	0	0	3429	0	0	32	5	16
P22	202105	126	120	0	0	126	0	0	0	120	0	4	3	0
