MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202106	8579	7964	6555	2024	0	0	6104	1860	0	0	189	87	0
P02	202106	12015	11382	8308	3707	0	0	7914	3468	0	0	117	113	0
P03	202106	15087	14492	11669	3418	0	0	11204	3288	0	0	175	101	9
P04	202106	22617	21788	13440	8974	203	0	12970	8630	188	0	230	185	0
P05	202106	14412	13795	9617	4693	102	0	9312	4396	87	0	208	105	3
P06	202106	27725	26630	18829	8891	5	0	18265	8360	5	0	274	195	10
P07	202106	9721	9298	6948	2202	569	2	6606	2142	550	0	101	69	25
P08	202106	15333	14752	9912	5312	109	0	9615	5043	94	0	181	83	17
P09	202106	10631	10251	0	10631	0	0	0	10251	0	0	94	53	61
P10	202106	19740	19103	13627	6051	62	0	13228	5815	60	0	105	71	20
P13	202106	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202106	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202106	3533	3429	0	3533	0	0	0	3429	0	0	32	5	16
P22	202106	126	120	0	0	126	0	0	0	120	0	4	3	0
