MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202507	9179	7810	6887	1978	60	254	6073	1677	60	0	220	91	3
P02	202507	12132	11287	8451	3625	4	52	7960	3323	4	0	130	110	1
P03	202507	15097	14403	11778	3319	0	0	11238	3165	0	0	193	103	11
P04	202507	22880	21830	13769	8902	199	10	13224	8437	169	0	261	170	15
P05	202507	20255	19382	10322	9743	169	21	9999	9265	118	0	242	105	37
P06	202507	28955	27421	19606	9301	5	43	18721	8695	5	0	301	197	21
P07	202507	9609	9067	7005	2062	529	13	6634	1959	474	0	104	63	22
P08	202507	18639	17767	12676	5828	51	84	12265	5470	32	0	213	88	23
P09	202507	11091	10635	0	11091	0	0	0	10635	0	0	109	52	57
P10	202507	25598	24797	18158	7284	94	62	17716	7011	70	0	161	90	21
P13	202507	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202507	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202507	3957	3769	0	3957	0	0	0	3769	0	0	48	6	18
P22	202507	131	120	0	0	131	0	0	0	120	0	5	3	0
