MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202201	8532	7889	6552	1980	0	0	6086	1803	0	0	188	87	0
P02	202201	11956	11324	8278	3678	0	0	7894	3430	0	0	119	113	0
P03	202201	15058	14468	11649	3409	0	0	11189	3279	0	0	176	103	11
P04	202201	22599	21773	13418	8978	203	0	12955	8630	188	0	230	184	0
P05	202201	14404	13788	9590	4712	102	0	9283	4418	87	0	208	96	12
P06	202201	28412	27308	19456	8946	5	5	18887	8416	5	0	276	197	11
P07	202201	9688	9261	6934	2194	558	2	6592	2131	538	0	99	68	25
P08	202201	15340	14753	9913	5317	110	0	9618	5044	91	0	181	85	17
P09	202201	10640	10259	0	10640	0	0	0	10259	0	0	93	53	61
P10	202201	25476	24731	18192	7158	126	0	17711	6916	104	0	138	91	21
P13	202201	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202201	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202201	3611	3507	0	3611	0	0	0	3507	0	0	31	6	15
P22	202201	126	120	0	0	126	0	0	0	120	0	4	3	0
