MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202509	9177	7798	6897	1969	57	254	6079	1662	57	0	219	91	3
P02	202509	12202	11352	8503	3643	4	52	8006	3342	4	0	130	110	1
P03	202509	15103	14411	11785	3318	0	0	11252	3159	0	0	198	103	11
P04	202509	22876	21802	13771	8898	197	10	13224	8425	153	0	262	170	15
P05	202509	20269	19397	10324	9755	169	21	10002	9277	118	0	240	105	38
P06	202509	28949	27413	19589	9312	5	43	18700	8708	5	0	302	198	21
P07	202509	9627	9063	6998	2070	546	13	6621	1966	476	0	107	63	21
P08	202509	18934	18044	12674	6125	51	84	12260	5752	32	0	216	88	23
P09	202509	10807	10368	0	10807	0	0	0	10368	0	0	107	51	57
P10	202509	25596	24798	18155	7285	94	62	17716	7012	70	0	161	90	21
P13	202509	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202509	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202509	3949	3757	0	3949	0	0	0	3757	0	0	48	6	18
P22	202509	131	120	0	0	131	0	0	0	120	0	5	3	0
