MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202601	9180	7795	6897	1972	57	254	6077	1661	57	0	218	92	3
P02	202601	12210	11361	8511	3645	4	50	8014	3343	4	0	130	110	1
P03	202601	15107	14392	11789	3318	0	0	11235	3157	0	0	201	103	11
P04	202601	22893	21819	13769	8917	197	10	13223	8443	153	0	264	170	15
P05	202601	20271	19396	10309	9773	168	21	9984	9294	118	0	240	106	38
P06	202601	28780	27411	19390	9333	14	43	18662	8735	14	0	302	200	21
P07	202601	9624	9053	7004	2061	546	13	6622	1955	476	0	107	64	21
P08	202601	18931	18043	12671	6125	51	84	12258	5753	32	0	216	88	23
P09	202601	10798	10355	0	10798	0	0	0	10355	0	0	107	52	57
P10	202601	25619	24818	18176	7287	94	62	17735	7013	70	0	161	90	21
P13	202601	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202601	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202601	3976	3782	0	3976	0	0	0	3782	0	0	48	6	18
P22	202601	131	120	0	0	131	0	0	0	120	0	5	3	0
