MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201907	8647	8003	6520	2096	0	31	6054	1931	0	18	189	90	0
P02	201907	12044	11364	7703	4341	0	0	7336	4028	0	0	118	125	0
P03	201907	14993	14393	10481	4512	0	0	10050	4343	0	0	175	122	0
P04	201907	16578	15792	8839	7510	229	0	8426	7154	212	0	282	141	0
P05	201907	10136	9565	4890	5020	226	0	4691	4668	206	0	191	112	0
P06	201907	21906	20933	13537	8364	5	0	13070	7858	5	0	249	188	0
P07	201907	9717	9289	6918	2219	580	0	6569	2166	554	0	93	95	0
P08	201907	15178	14599	9802	5267	109	0	9499	5006	94	0	175	99	0
P13	201907	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201907	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201907	126	120	0	0	126	0	0	0	120	0	4	3	0
