MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202108	8586	7960	6562	2024	0	0	6102	1858	0	0	188	87	0
P02	202108	12015	11379	8308	3707	0	0	7913	3466	0	0	118	113	0
P03	202108	15079	14484	11671	3408	0	0	11205	3279	0	0	175	102	10
P04	202108	22587	21756	13436	8948	203	0	12966	8602	188	0	232	183	0
P05	202108	14405	13787	9591	4712	102	0	9285	4415	87	0	208	105	3
P06	202108	27720	26638	18827	8888	5	0	18273	8360	5	0	273	195	10
P07	202108	9690	9273	6935	2195	558	2	6599	2135	539	0	99	68	25
P08	202108	15334	14753	9913	5312	109	0	9618	5041	94	0	181	83	17
P09	202108	10618	10237	0	10618	0	0	0	10237	0	0	95	53	61
P10	202108	25486	24739	18192	7168	126	0	17703	6932	104	0	137	91	21
P13	202108	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202108	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202108	3504	3400	0	3504	0	0	0	3400	0	0	31	6	15
P22	202108	126	120	0	0	126	0	0	0	120	0	4	3	0
