MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201901	8668	8014	6542	2095	0	31	6067	1929	0	18	197	90	0
P02	201901	12109	11492	7645	4464	0	0	7291	4201	0	0	119	125	0
P03	201901	14960	14366	10444	4516	0	0	10019	4347	0	0	175	123	0
P04	201901	16588	15809	8637	7722	229	0	8225	7372	212	0	282	142	0
P05	201901	10153	9575	4865	5062	226	0	4660	4708	207	0	187	111	0
P06	201901	21907	20943	13562	8340	5	0	13099	7839	5	0	250	189	0
P07	201901	9643	9232	6918	2147	578	0	6564	2116	552	0	89	94	0
P08	201901	15192	14608	9815	5268	109	0	9509	5005	94	0	177	99	0
P13	201901	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201901	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201901	126	120	0	0	126	0	0	0	120	0	4	3	0
