MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202604	9193	7809	6910	1972	57	254	6091	1661	57	0	218	92	3
P02	202604	12206	11362	8504	3645	4	53	8016	3342	4	0	130	110	1
P03	202604	15110	14396	11792	3318	0	0	11236	3160	0	0	202	103	11
P04	202604	22899	21826	13769	8923	197	10	13228	8444	154	0	264	170	15
P05	202604	20225	19353	10266	9770	168	21	9946	9288	119	0	241	106	38
P06	202604	28782	27518	19388	9337	14	43	18759	8745	14	0	302	200	21
P07	202604	9662	9089	6989	2061	585	27	6623	1954	512	0	108	64	21
P08	202604	18905	18006	12647	6123	51	84	12225	5749	32	0	216	88	23
P09	202604	10755	10309	0	10755	0	0	0	10309	0	0	107	53	57
P10	202604	25610	24809	18170	7284	94	62	17728	7011	70	0	161	88	21
P13	202604	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202604	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202604	3977	3783	0	3977	0	0	0	3783	0	0	48	6	18
P22	202604	131	120	0	0	131	0	0	0	120	0	5	3	0
