MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202011	8571	7970	6549	2022	0	0	6107	1863	0	0	186	87	0
P02	202011	11989	11355	8249	3740	0	0	7854	3501	0	0	119	113	0
P03	202011	15075	14486	11656	3419	0	0	11197	3289	0	0	173	104	10
P04	202011	22702	21866	13387	9113	202	0	12912	8762	192	0	229	185	0
P05	202011	12739	12155	7383	5254	102	0	7157	4911	87	0	196	101	16
P06	202011	27806	26726	18866	8935	5	0	18317	8404	5	0	272	195	10
P07	202011	9714	9289	6945	2198	569	2	6599	2140	550	0	100	69	25
P08	202011	15080	14502	9920	5051	109	0	9618	4790	94	0	179	82	15
P09	202011	3808	3655	0	3808	0	0	0	3655	0	0	47	66	0
P10	202011	19737	19083	13624	6051	62	0	13215	5808	60	0	105	76	0
P13	202011	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202011	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202011	126	120	0	0	126	0	0	0	120	0	4	3	0
