MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202004	8625	8027	6528	2097	0	0	6083	1944	0	0	187	90	0
P02	202004	12020	11394	8264	3756	0	0	7880	3514	0	0	118	112	0
P03	202004	14934	14343	10465	4469	0	0	10039	4304	0	0	174	123	0
P04	202004	22625	21788	13333	9090	202	0	12858	8738	192	0	227	184	0
P05	202004	12728	12148	7369	5257	102	0	7148	4912	88	0	198	117	0
P06	202004	25929	24869	17059	8865	5	0	16532	8332	5	0	267	200	0
P07	202004	9746	9330	6937	2253	556	0	6594	2197	539	0	96	94	0
P08	202004	15008	14444	9854	5045	109	0	9555	4795	94	0	175	98	0
P09	202004	3810	3661	0	3810	0	0	0	3661	0	0	47	65	0
P13	202004	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202004	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202004	126	120	0	0	126	0	0	0	120	0	4	3	0
