MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202003	8625	8027	6528	2097	0	0	6083	1944	0	0	187	90	0
P02	202003	12026	11400	7734	4292	0	0	7366	4034	0	0	118	112	0
P03	202003	14915	14327	10446	4469	0	0	10022	4305	0	0	172	123	0
P04	202003	22644	21810	13366	9073	205	0	12893	8725	192	0	227	184	0
P05	202003	12728	12148	7369	5257	102	0	7148	4912	88	0	198	117	0
P06	202003	25931	24873	17063	8863	5	0	16537	8331	5	0	267	200	0
P07	202003	9752	9327	6937	2253	562	0	6594	2197	536	0	96	94	0
P08	202003	15010	14447	9854	5047	109	0	9557	4796	94	0	175	98	0
P09	202003	3810	3661	0	3810	0	0	0	3661	0	0	47	65	0
P13	202003	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202003	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202003	126	120	0	0	126	0	0	0	120	0	4	3	0
