MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201806	8694	8065	6584	2071	0	39	6108	1931	0	26	198	90	0
P02	201806	12082	11473	7641	4441	0	0	7298	4175	0	0	119	125	0
P03	201806	14839	14221	10335	4504	0	0	9913	4308	0	0	178	122	0
P04	201806	3	3	3	0	0	0	3	0	0	0	0	0	0
P05	201806	9374	8822	4131	5000	243	0	3948	4658	216	0	137	110	0
P06	201806	18242	17350	10925	7309	8	0	10514	6828	8	0	220	163	0
P07	201806	9606	9156	6882	2130	562	32	6522	2099	535	0	89	90	0
P08	201806	13216	12711	8131	4974	111	0	7897	4720	94	0	160	93	0
P13	201806	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201806	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201806	126	120	0	0	126	0	0	0	120	0	4	3	0
