MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201810	8679	8045	6571	2077	0	31	6094	1933	0	18	197	90	0
P02	201810	12092	11493	7624	4468	0	0	7282	4211	0	0	119	125	0
P03	201810	14999	14404	10465	4534	0	0	10045	4359	0	0	175	122	0
P04	201810	16551	15772	8639	7683	229	0	8225	7335	212	0	284	139	0
P05	201810	9358	8804	4105	5012	241	0	3922	4666	216	0	177	110	0
P06	201810	18542	17651	11117	7420	5	0	10701	6945	5	0	217	165	0
P07	201810	9580	9162	6888	2130	562	0	6528	2099	535	0	89	90	0
P08	201810	13931	13403	8795	5019	117	0	8534	4769	100	0	168	96	0
P13	201810	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201810	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201810	126	120	0	0	126	0	0	0	120	0	4	3	0
