MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202007	8616	8018	6523	2093	0	0	6079	1939	0	0	189	89	0
P02	202007	12021	11392	8271	3750	0	0	7881	3511	0	0	118	113	0
P03	202007	14958	14370	10498	4460	0	0	10073	4297	0	0	176	123	0
P04	202007	22632	21792	13333	9097	202	0	12855	8745	192	0	228	185	0
P05	202007	12749	12161	7390	5257	102	0	7163	4910	88	0	198	117	0
P06	202007	25925	24883	17032	8888	5	0	16526	8352	5	0	267	201	0
P07	202007	9770	9353	6945	2254	569	2	6606	2197	550	0	97	94	0
P08	202007	15008	14448	9854	5045	109	0	9557	4797	94	0	175	98	0
P09	202007	3809	3661	0	3809	0	0	0	3661	0	0	47	65	0
P13	202007	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202007	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202007	126	120	0	0	126	0	0	0	120	0	4	3	0
