MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202211	9216	7955	7039	2049	29	99	6127	1799	29	0	213	89	2
P02	202211	12233	11334	8444	3739	2	48	7904	3428	2	0	131	112	1
P03	202211	15108	14420	11745	3363	0	0	11201	3219	0	0	184	103	11
P04	202211	22870	21817	13582	9072	206	10	13035	8606	176	0	257	185	0
P05	202211	20509	19607	10507	9818	169	15	10177	9311	119	0	242	105	35
P06	202211	28594	27248	19536	9008	5	45	18835	8408	5	0	299	195	11
P07	202211	9778	9234	6968	2189	611	10	6571	2104	559	0	105	69	25
P08	202211	15569	14788	10005	5368	112	84	9636	5041	111	0	201	85	17
P09	202211	10722	10281	0	10719	0	3	0	10281	0	0	100	53	60
P10	202211	25624	24753	18202	7220	138	64	17718	6931	104	0	158	91	21
P13	202211	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202211	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202211	3622	3488	0	3622	0	0	0	3488	0	0	31	6	15
P22	202211	131	120	0	0	131	0	0	0	120	0	5	3	0
