MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202310	9120	7833	6819	1999	50	252	6054	1729	50	0	215	86	4
P02	202310	12244	11305	8460	3734	2	48	7879	3424	2	0	130	113	1
P03	202310	15091	14409	11731	3360	0	0	11195	3214	0	0	186	103	11
P04	202310	22908	21855	13755	8934	209	10	13200	8476	179	0	256	170	15
P05	202310	20253	19349	10285	9778	169	21	9957	9274	118	0	243	104	35
P06	202310	28664	27288	19441	9173	5	45	18723	8560	5	0	299	197	13
P07	202310	9706	9273	6950	2149	602	5	6668	2056	549	0	104	66	25
P08	202310	15791	15001	10269	5345	93	84	9883	5027	91	0	201	85	17
P09	202310	10885	10464	0	10885	0	0	0	10464	0	0	100	53	60
P10	202310	25574	24716	18147	7228	135	64	17678	6934	104	0	161	91	21
P13	202310	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202310	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202310	3590	3451	0	3590	0	0	0	3451	0	0	33	6	15
P22	202310	131	120	0	0	131	0	0	0	120	0	5	3	0
