MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202405	9131	7784	6848	1979	50	254	6049	1685	50	0	220	90	3
P02	202405	12223	11274	8457	3716	2	48	7865	3407	2	0	132	113	1
P03	202405	15085	14406	11720	3365	0	0	11191	3215	0	0	189	99	11
P04	202405	22893	21855	13745	8939	199	10	13203	8483	169	0	258	170	15
P05	202405	20277	19383	10273	9814	169	21	9946	9318	119	0	243	105	37
P06	202405	28795	27249	19511	9236	5	43	18620	8624	5	0	301	198	16
P07	202405	9700	9260	6955	2134	601	10	6671	2041	548	0	105	67	25
P08	202405	15840	15021	10293	5390	73	84	9905	5045	71	0	202	85	17
P09	202405	10856	10436	0	10856	0	0	0	10436	0	0	101	53	57
P10	202405	25560	24720	18134	7268	94	64	17677	6973	70	0	161	91	21
P13	202405	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202405	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202405	3921	3761	0	3921	0	0	0	3761	0	0	46	6	18
P22	202405	131	120	0	0	131	0	0	0	120	0	5	3	0
