MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202411	9159	7781	6870	1985	50	254	6049	1682	50	0	220	91	3
P02	202411	12232	11267	8456	3724	2	50	7851	3414	2	0	131	113	1
P03	202411	15064	14361	11722	3342	0	0	11178	3183	0	0	190	103	11
P04	202411	22867	21832	13722	8936	199	10	13183	8480	169	0	259	170	15
P05	202411	20285	19397	10265	9830	169	21	9940	9338	119	0	241	106	37
P06	202411	28880	27352	19484	9348	5	43	18609	8738	5	0	298	199	21
P07	202411	9707	9206	6988	2103	606	10	6653	2006	547	0	105	63	23
P08	202411	16670	15846	11087	5448	51	84	10696	5118	32	0	204	85	17
P09	202411	10924	10489	0	10924	0	0	0	10489	0	0	107	53	57
P10	202411	25580	24747	18140	7284	94	62	17691	6986	70	0	161	90	21
P13	202411	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202411	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202411	3921	3736	0	3921	0	0	0	3736	0	0	48	6	18
P22	202411	131	120	0	0	131	0	0	0	120	0	5	3	0
