MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202410	9159	7781	6870	1985	50	254	6049	1682	50	0	220	91	3
P02	202410	12232	11266	8456	3724	2	50	7850	3414	2	0	131	113	1
P03	202410	15064	14361	11722	3342	0	0	11178	3183	0	0	190	103	11
P04	202410	22867	21832	13722	8936	199	10	13183	8480	169	0	259	170	15
P05	202410	20288	19398	10268	9830	169	21	9942	9337	119	0	241	106	37
P06	202410	28817	27290	19484	9285	5	43	18609	8676	5	0	298	199	18
P07	202410	9707	9206	6988	2103	606	10	6653	2006	547	0	105	63	23
P08	202410	15943	15125	10360	5448	51	84	9975	5118	32	0	203	85	17
P09	202410	10924	10489	0	10924	0	0	0	10489	0	0	107	53	57
P10	202410	25580	24747	18140	7284	94	62	17691	6986	70	0	161	90	21
P13	202410	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202410	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202410	3921	3736	0	3921	0	0	0	3736	0	0	48	6	18
P22	202410	131	120	0	0	131	0	0	0	120	0	5	3	0
