MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202402	9167	7840	6844	2021	50	252	6055	1735	50	0	219	90	3
P02	202402	12223	11269	8457	3716	2	48	7861	3406	2	0	132	113	1
P03	202402	15085	14405	11721	3364	0	0	11189	3216	0	0	187	103	11
P04	202402	22902	21859	13753	8940	199	10	13208	8482	169	0	256	170	15
P05	202402	20269	19373	10265	9814	169	21	9942	9313	118	0	243	105	37
P06	202402	28734	27176	19534	9152	5	43	18634	8537	5	0	300	199	13
P07	202402	9707	9270	6952	2143	602	10	6668	2053	549	0	105	67	25
P08	202402	15809	15009	10285	5367	73	84	9899	5039	71	0	201	85	17
P09	202402	10896	10476	0	10896	0	0	0	10476	0	0	100	53	57
P10	202402	25574	24728	18146	7270	94	64	17684	6974	70	0	161	91	21
P13	202402	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202402	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202402	3920	3759	0	3920	0	0	0	3759	0	0	45	6	18
P22	202402	131	120	0	0	131	0	0	0	120	0	5	3	0
