MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202602	9184	7796	6901	1972	57	254	6078	1661	57	0	218	92	3
P02	202602	12210	11360	8511	3645	4	50	8014	3342	4	0	130	110	1
P03	202602	15108	14392	11790	3318	0	0	11234	3158	0	0	202	103	11
P04	202602	22892	21818	13768	8917	197	10	13221	8443	154	0	264	170	15
P05	202602	20233	19358	10288	9756	168	21	9966	9274	118	0	241	106	38
P06	202602	28780	27410	19390	9333	14	43	18661	8735	14	0	302	200	21
P07	202602	9663	9089	7004	2061	585	13	6622	1955	512	0	107	64	21
P08	202602	18931	18041	12671	6125	51	84	12256	5753	32	0	216	88	23
P09	202602	10798	10355	0	10798	0	0	0	10355	0	0	107	52	57
P10	202602	25617	24816	18174	7287	94	62	17733	7013	70	0	161	90	21
P13	202602	60	54	0	0	60	0	0	0	54	0	5	2	0
P16	202602	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202602	3976	3782	0	3976	0	0	0	3782	0	0	48	6	18
P22	202602	131	120	0	0	131	0	0	0	120	0	5	3	0
