MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201801	8670	8045	6584	2047	0	39	6108	1911	0	26	195	90	0
P02	201801	12084	11475	7641	4443	0	0	7298	4177	0	0	119	125	0
P03	201801	9	9	9	0	0	0	9	0	0	0	0	0	0
P05	201801	9371	8819	4128	5000	243	0	3945	4658	216	0	137	110	0
P06	201801	18261	17367	10940	7313	8	0	10529	6830	8	0	222	163	0
P08	201801	12967	12463	8088	4768	111	0	7855	4514	94	0	159	93	0
