MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202407	9141	7776	6857	1980	50	254	6046	1680	50	0	221	91	3
P02	202407	12220	11266	8454	3716	2	48	7859	3405	2	0	132	113	1
P03	202407	15083	14399	11726	3357	0	0	11190	3209	0	0	191	99	11
P04	202407	22888	21854	13744	8935	199	10	13205	8480	169	0	258	170	15
P05	202407	20306	19410	10283	9833	169	21	9955	9336	119	0	243	105	37
P06	202407	28828	27296	19516	9264	5	43	18637	8654	5	0	299	199	18
P07	202407	9730	9272	6979	2134	607	10	6683	2041	548	0	105	64	23
P08	202407	15845	15030	10292	5418	51	84	9905	5093	32	0	203	85	17
P09	202407	10916	10488	0	10916	0	0	0	10488	0	0	105	53	57
P10	202407	25569	24733	18129	7284	94	62	17676	6987	70	0	162	91	21
P13	202407	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202407	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202407	3922	3758	0	3922	0	0	0	3758	0	0	46	6	18
P22	202407	131	120	0	0	131	0	0	0	120	0	5	3	0
