MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202506	9177	7806	6886	1977	60	254	6070	1676	60	0	220	91	3
P02	202506	12131	11282	8452	3623	4	52	7960	3318	4	0	131	110	1
P03	202506	15082	14390	11751	3331	0	0	11214	3176	0	0	192	103	11
P04	202506	22880	21830	13768	8903	199	10	13224	8437	169	0	260	170	15
P05	202506	20255	19384	10322	9743	169	21	10001	9265	118	0	241	105	37
P06	202506	28962	27438	19615	9299	5	43	18734	8699	5	0	302	196	22
P07	202506	9618	9076	7004	2066	535	13	6639	1963	474	0	103	63	22
P08	202506	18632	17766	12675	5822	51	84	12265	5469	32	0	213	88	23
P09	202506	11050	10595	0	11050	0	0	0	10595	0	0	107	52	57
P10	202506	25597	24797	18157	7284	94	62	17716	7011	70	0	161	90	21
P13	202506	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202506	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202506	3956	3768	0	3956	0	0	0	3768	0	0	48	6	18
P22	202506	131	120	0	0	131	0	0	0	120	0	5	3	0
