MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202508	9191	7811	6895	1985	57	254	6078	1676	57	0	219	92	3
P02	202508	12204	11354	8504	3644	4	52	8008	3342	4	0	130	110	1
P03	202508	15104	14416	11785	3319	0	0	11251	3165	0	0	194	103	11
P04	202508	22875	21810	13769	8899	197	10	13224	8433	153	0	261	170	15
P05	202508	20272	19399	10324	9758	169	21	10002	9279	118	0	241	105	38
P06	202508	28945	27399	19595	9302	5	43	18699	8695	5	0	301	197	21
P07	202508	9603	9058	6999	2062	529	13	6628	1959	471	0	104	63	22
P08	202508	18931	18046	12673	6123	51	84	12263	5751	32	0	215	88	23
P09	202508	10804	10366	0	10804	0	0	0	10366	0	0	107	51	57
P10	202508	25599	24797	18159	7284	94	62	17716	7011	70	0	161	90	21
P13	202508	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202508	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202508	3957	3767	0	3957	0	0	0	3767	0	0	48	6	18
P22	202508	131	120	0	0	131	0	0	0	120	0	5	3	0
