MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202505	9180	7791	6895	1981	50	254	6062	1679	50	0	219	91	3
P02	202505	12117	11251	8435	3629	2	51	7929	3320	2	0	131	110	1
P03	202505	15082	14391	11751	3331	0	0	11216	3175	0	0	192	103	11
P04	202505	22878	21833	13770	8899	199	10	13225	8439	169	0	261	170	15
P05	202505	20256	19387	10323	9743	169	21	10003	9266	118	0	241	105	37
P06	202505	28947	27423	19499	9400	5	43	18629	8789	5	0	301	199	22
P07	202505	9664	9137	6993	2123	535	13	6643	2020	474	0	105	63	22
P08	202505	18614	17755	12660	5819	51	84	12256	5467	32	0	213	88	23
P09	202505	11037	10578	0	11037	0	0	0	10578	0	0	107	52	57
P10	202505	25595	24796	18155	7284	94	62	17715	7011	70	0	161	90	21
P13	202505	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202505	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202505	3946	3758	0	3946	0	0	0	3758	0	0	48	6	18
P22	202505	131	120	0	0	131	0	0	0	120	0	5	3	0
