MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202101	8576	7979	6551	2025	0	0	6113	1866	0	0	184	87	0
P02	202101	11993	11363	8286	3707	0	0	7896	3467	0	0	119	113	0
P03	202101	15077	14484	11658	3419	0	0	11195	3289	0	0	174	105	10
P04	202101	22766	21929	13452	9112	202	0	12977	8760	192	0	232	185	0
P05	202101	14119	13508	8603	5414	102	0	8357	5064	87	0	208	105	16
P06	202101	27779	26691	18848	8926	5	0	18295	8391	5	0	273	195	10
P07	202101	9702	9282	6938	2193	569	2	6597	2135	550	0	101	69	25
P08	202101	15119	14543	9921	5089	109	0	9621	4828	94	0	179	83	16
P09	202101	3808	3655	0	3808	0	0	0	3655	0	0	47	66	0
P10	202101	19740	19086	13628	6050	62	0	13218	5808	60	0	105	91	0
P13	202101	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202101	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	202101	126	120	0	0	126	0	0	0	120	0	4	3	0
