MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201807	8684	8055	6574	2071	0	39	6098	1931	0	26	198	90	0
P02	201807	12082	11473	7641	4441	0	0	7298	4175	0	0	119	125	0
P03	201807	14839	14221	10335	4504	0	0	9913	4308	0	0	178	122	0
P04	201807	16537	15761	8618	7690	229	0	8206	7343	212	0	280	139	0
P05	201807	9374	8822	4131	5000	243	0	3948	4658	216	0	137	110	0
P06	201807	18251	17358	10959	7287	5	0	10547	6806	5	0	220	164	0
P07	201807	9606	9156	6882	2130	562	32	6522	2099	535	0	89	90	0
P08	201807	13202	12697	8147	4944	111	0	7911	4692	94	0	163	93	0
P13	201807	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201807	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201807	126	120	0	0	126	0	0	0	120	0	4	3	0
