MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202502	9154	7770	6869	1981	50	254	6041	1679	50	0	219	91	3
P02	202502	12230	11258	8543	3634	2	51	7929	3327	2	0	131	110	1
P03	202502	15059	14358	11722	3337	0	0	11179	3179	0	0	190	103	11
P04	202502	22877	21835	13767	8901	199	10	13226	8440	169	0	258	170	15
P05	202502	20259	19388	10327	9742	169	21	10007	9263	118	0	243	106	37
P06	202502	28873	27349	19480	9345	5	43	18610	8734	5	0	299	199	21
P07	202502	9687	9161	6993	2105	579	10	6639	2006	516	0	105	64	23
P08	202502	16575	15752	11006	5434	51	84	10619	5101	32	0	204	85	17
P09	202502	10984	10548	0	10984	0	0	0	10548	0	0	107	52	57
P10	202502	25595	24790	18155	7284	94	62	17711	7009	70	0	161	90	21
P13	202502	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202502	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202502	3937	3750	0	3937	0	0	0	3750	0	0	48	6	18
P22	202502	131	120	0	0	131	0	0	0	120	0	5	3	0
