MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202304	9205	7937	6857	2057	39	252	6094	1804	39	0	214	89	4
P02	202304	12235	11330	8446	3739	2	48	7896	3432	2	0	130	113	1
P03	202304	15103	14416	11743	3360	0	0	11201	3215	0	0	186	103	11
P04	202304	22955	21905	13758	8978	209	10	13203	8523	179	0	257	185	0
P05	202304	20305	19417	10342	9779	169	15	10018	9280	119	0	243	104	35
P06	202304	28869	27460	19545	9274	5	45	18833	8622	5	0	301	198	13
P07	202304	9738	9308	6933	2191	609	5	6654	2097	557	0	105	69	25
P08	202304	15561	14765	10016	5368	93	84	9639	5035	91	0	201	85	17
P09	202304	10729	10318	0	10729	0	0	0	10318	0	0	100	53	60
P10	202304	25626	24768	18207	7220	135	64	17733	6931	104	0	161	91	21
P13	202304	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202304	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202304	3622	3487	0	3622	0	0	0	3487	0	0	32	6	15
P22	202304	131	120	0	0	131	0	0	0	120	0	5	3	0
