MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202307	9224	7947	6891	2031	50	252	6122	1775	50	0	214	89	4
P02	202307	12261	11323	8468	3743	2	48	7892	3429	2	0	131	112	1
P03	202307	15098	14420	11738	3360	0	0	11205	3215	0	0	187	103	11
P04	202307	22904	21852	13751	8934	209	10	13195	8478	179	0	255	185	0
P05	202307	20260	19363	10299	9777	169	15	9971	9274	118	0	243	104	35
P06	202307	28932	27512	19610	9272	5	45	18888	8619	5	0	300	198	13
P07	202307	9731	9299	6938	2172	616	5	6660	2075	564	0	105	69	25
P08	202307	15770	14986	10239	5354	93	84	9860	5035	91	0	201	85	17
P09	202307	10764	10346	0	10764	0	0	0	10346	0	0	100	53	60
P10	202307	25580	24725	18161	7220	135	64	17691	6930	104	0	161	91	21
P13	202307	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202307	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202307	3592	3454	0	3592	0	0	0	3454	0	0	33	6	15
P22	202307	131	120	0	0	131	0	0	0	120	0	5	3	0
