MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202206	9103	7855	6982	2027	0	94	6080	1775	0	0	213	86	0
P02	202206	12135	11331	8332	3739	0	64	7910	3421	0	0	131	113	0
P03	202206	15111	14419	11747	3364	0	0	11200	3219	0	0	183	103	11
P04	202206	22788	21741	13511	9042	225	10	12966	8587	188	0	257	185	0
P05	202206	20535	19623	10550	9804	166	15	10219	9288	116	0	241	103	35
P06	202206	28617	27279	19534	9025	5	53	18846	8428	5	0	303	196	11
P07	202206	9775	9236	6981	2205	579	10	6584	2122	530	0	102	67	25
P08	202206	15544	14758	9983	5364	113	84	9622	5045	91	0	200	85	17
P09	202206	10709	10258	0	10706	0	3	0	10258	0	0	97	53	60
P10	202206	25598	24719	18201	7193	140	64	17707	6908	104	0	158	91	21
P13	202206	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	202206	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202206	3619	3488	0	3619	0	0	0	3488	0	0	31	6	15
P22	202206	131	120	0	0	131	0	0	0	120	0	5	3	0
